provinsi,industri_idr,jasa_idr,tahun
Aceh,2124000.0,1815100.0,2025
Sumatera Utara,1919100.0,1843500.0,2025
Sumatera Barat,2257600.0,1924800.0,2025
Riau,2587900.0,1828300.0,2025
Jambi,2583700.0,2244000.0,2025
Sumatera Selatan,2540700.0,1846400.0,2025
Bengkulu,1953800.0,1852500.0,2025
Lampung,2029800.0,1701400.0,2025
Kep. Bangka Belitung,1934200.0,2355900.0,2025
Kep. Riau,2620300.0,1325100.0,2025
Dki Jakarta,2875100.0,2496800.0,2025
Jawa Barat,2252100.0,2005700.0,2025
Jawa Tengah,1895600.0,1849000.0,2025
Di Yogyakarta,1712400.0,1622800.0,2025
Jawa Timur,2089800.0000000002,1574700.0,2025
Banten,2495500.0,2407500.0,2025
Bali,2438200.0,2244200.0,2025
Nusa Tenggara Barat,1960500.0,1422900.0,2025
Nusa Tenggara Timur,1874700.0,1537700.0,2025
Kalimantan Barat,2937800.0,2058500.0,2025
Kalimantan Tengah,3218900.0,2266500.0,2025
Kalimantan Selatan,2268900.0,2016000.0,2025
Kalimantan Timur,3363700.0,3155400.0,2025
Kalimantan Utara,2276000.0,2439000.0,2025
Sulawesi Utara,2319700.0,2058800.0000000002,2025
Sulawesi Tengah,2141400.0,1507100.0,2025
Sulawesi Selatan,1976100.0,1795200.0,2025
Sulawesi Tenggara,2636000.0,2438600.0,2025
Gorontalo,2034700.0,1315600.0,2025
Sulawesi Barat,2023000.0,,2025
Maluku,2906500.0,1686800.0,2025
Maluku Utara,2683500.0,2461500.0,2025
Papua Barat,,3000300.0,2025
Papua,3066400.0,1488000.0,2025
Papua Selatan,,2980200.0,2025
Papua Tengah,5726600.0,,2025
