provinsi,industri_idr,jasa_idr,tahun
Aceh,1873460.0,1938062.0,2025
Sumatera Utara,1839497.0,2149730.0,2025
Sumatera Barat,1877345.0,2048174.0,2025
Riau,2160239.0,2464143.0,2025
Jambi,2606164.0,2638021.0,2025
Sumatera Selatan,2016508.0,2137495.0,2025
Bengkulu,2073666.0,2076902.0,2025
Lampung,1948847.0,1944312.0,2025
Kepulauan Bangka Belitung,2376027.0,2387851.0,2025
Kepulauan Riau,3371779.0,3458400.0,2025
Dki Jakarta,4453432.0,4290447.0,2025
Jawa Barat,1860020.0,2073188.0,2025
Jawa Tengah,1659946.0,1683852.0,2025
Di Yogyakarta,1286222.0,1853594.0,2025
Jawa Timur,1786205.0,1843822.0,2025
Banten,2214359.0,2507255.0,2025
Bali,2142621.0,3047084.0,2025
Nusa Tenggara Barat,1534422.0,1870598.0,2025
Nusa Tenggara Timur,1126535.0,1659466.0,2025
Kalimantan Barat,2389631.0,2417990.0,2025
Kalimantan Tengah,3322294.0,2615998.0,2025
Kalimantan Selatan,2091385.0,2283361.0,2025
Kalimantan Timur,3286948.0,3136926.0,2025
Kalimantan Utara,3026464.0,2676771.0,2025
Sulawesi Utara,2396456.0,2372046.0,2025
Sulawesi Tengah,2199996.0,2226174.0,2025
Sulawesi Selatan,2586277.0,2113452.0,2025
Sulawesi Tenggara,2021665.0,2149051.0,2025
Gorontalo,2184537.0,1732639.0,2025
Sulawesi Barat,1421076.0,2283977.0,2025
Maluku,2063231.0,1945044.0,2025
Maluku Utara,2549351.0,2665470.0,2025
Papua Barat,3003450.0,2512342.0,2025
Papua Barat Daya,2352684.0,2845889.0,2025
Papua,2492046.0,2970698.0,2025
Papua Selatan,4716199.0,3588561.0,2025
Papua Tengah,4226996.0,3614986.0,2025
Papua Pegunungan,,5048751.0,2025
