usia,sumber_pekerjaan,status_income,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari,income_w1,income_w2,income_w3,income_w4,peak_week,waktu_ramai,faktor_fluktuasi,app_helpful_score,fitur_dibutuhkan,gig_type,domisili_code,src_gojek,src_grab,src_instagram___tiktok___youtube,src_maxim,src_projects_co_id,src_shopee___tokopedia___tiktok_shop,src_shopeefood,src_upwork,src_website_freelance_seperti_fiverr,src_whatsapp___kenalan___pelanggan_langsung,ramai_akhir_bulan___tanggal_gajian,ramai_akhir_pekan___sabtu_minggu,ramai_awal_bulan,ramai_harbolnas___flash_sale_online___tanggal_,ramai_ramadan___menjelang_lebaran,ramai_saat_ada_promo_dari_aplikasi,ramai_saat_cuaca_bagus,fluk_ada_atau_tidaknya_promo_dari_aplikasi,fluk_akhir_pekan_atau_hari_libur,fluk_cuaca,fluk_jam_saya_bekerja,fluk_jumlah_pesanan_atau_project_yang_masuk,fluk_kondisi_fisik___capek___sakit,fluk_rating_atau_ulasan_pelanggan,fluk_tanggal_gajian___akhir_bulan,fitur_pengingat_kalau_penghasilan_sedang_turun,fitur_perkiraan_penghasilan_minggu_depan,fitur_ringkasan_pemasukan_dan_pengeluaran,fitur_saran_batas_pengeluaran_minggu_ini,fitur_saran_menabung
26,WhatsApp / kenalan / pelanggan langsung,2,19,7,7,150000,275000,270000,335000,4,"Ramadan / menjelang Lebaran, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Kondisi fisik / capek / sakit",5,"Ringkasan pemasukan dan pengeluaran, Saran menabung, Perkiraan penghasilan minggu depan",pekerja_harian,jawa_timur,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1
26,Gojek,0,72,6,7,300000,16800,325000,330000,4,"Ramadan / menjelang Lebaran, Saat cuaca bagus","Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,Ringkasan pemasukan dan pengeluaran,ojek_online,bandung,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
36,Gojek,1,20,7,11,550000,360000,760000,325000,3,"Saat cuaca bagus, Akhir pekan / Sabtu-Minggu",Jumlah pesanan atau project yang masuk,3,"Ringkasan pemasukan dan pengeluaran, Saran batas pengeluaran minggu ini",ojek_online,bandung,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
22,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",2,3,3,3,210000,120000,150000,120000,0,"Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja",5,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran",tutor,jawa_timur,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
41,WhatsApp / kenalan / pelanggan langsung,1,14,5,9,400000,335000,440000,300000,3,"Akhir pekan / Sabtu-Minggu, Ramadan / menjelang Lebaran, Awal bulan","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",2,"Ringkasan pemasukan dan pengeluaran, Saran batas pengeluaran minggu ini",pekerja_harian,jawa_timur,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
30,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",1,19,5,6,840000,650000,800000,400000,0,"Akhir bulan / tanggal gajian, Awal bulan, Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Tanggal gajian / akhir bulan",3,"Saran menabung, Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran",jualan_online,sulawesi,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1
26,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",0,31,5,6,325000,195000,380000,195000,3,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Jam saya bekerja, Tanggal gajian / akhir bulan",1,"Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran, Saran menabung",freelancer_desain,jawa_timur,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1
22,"Projects.co.id, Instagram / TikTok / YouTube",0,24,4,3,400000,250000,200000,280000,1,Awal bulan,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Rating atau ulasan pelanggan",5,Pengingat kalau penghasilan sedang turun,freelancer_desain,jabodetabek,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
17,Website freelance seperti Fiverr,1,77,5,5,660000,780000,1000000,810000,3,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Rating atau ulasan pelanggan",5,"Ringkasan pemasukan dan pengeluaran, Pengingat kalau penghasilan sedang turun, Perkiraan penghasilan minggu depan",freelancer_it,bandung,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
27,"Website freelance seperti Fiverr, Instagram / TikTok / YouTube",2,14,5,8,175000,175000,210000,175000,3,"Awal bulan, Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja",3,"Pengingat kalau penghasilan sedang turun, Saran menabung, Ringkasan pemasukan dan pengeluaran",freelancer_desain,bali,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
33,"Gojek, ShopeeFood",1,10,6,9,500000,640000,575000,630000,4,"Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Cuaca, Ada atau tidaknya promo dari aplikasi",3,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran, Saran menabung",kurir,jabodetabek,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
20,"Projects.co.id, WhatsApp / kenalan / pelanggan langsung",2,17,5,5,750000,600000,575000,975000,2,"Akhir bulan / tanggal gajian, Awal bulan",Jumlah pesanan atau project yang masuk,4,"Saran menabung, Pengingat kalau penghasilan sedang turun, Perkiraan penghasilan minggu depan",freelancer_it,jawa_tengah,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
41,WhatsApp / kenalan / pelanggan langsung,2,21,6,7,1040000,1125000,900000,735000,4,Akhir pekan / Sabtu-Minggu,Jumlah pesanan atau project yang masuk,5,"Ringkasan pemasukan dan pengeluaran, Saran menabung, Perkiraan penghasilan minggu depan",kurir,jawa_timur,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
22,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",1,2,5,8,675000,715000,540000,580000,2,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Tanggal gajian / akhir bulan",2,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran, Pengingat kalau penghasilan sedang turun",freelancer_desain,jabodetabek,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
