usia,sumber_pekerjaan,status_income,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari,income_w1,income_w2,income_w3,income_w4,peak_week,waktu_ramai,faktor_fluktuasi,app_helpful_score,fitur_dibutuhkan,src_gojek,src_grab,src_instagram___tiktok___youtube,src_maxim,src_projects_co_id,src_shopee___tokopedia___tiktok_shop,src_shopeefood,src_upwork,src_website_freelance_seperti_fiverr,src_whatsapp___kenalan___pelanggan_langsung,ramai_akhir_bulan___tanggal_gajian,ramai_akhir_pekan___sabtu_minggu,ramai_awal_bulan,ramai_harbolnas___flash_sale_online___tanggal_,ramai_ramadan___menjelang_lebaran,ramai_saat_ada_promo_dari_aplikasi,ramai_saat_cuaca_bagus,fluk_ada_atau_tidaknya_promo_dari_aplikasi,fluk_akhir_pekan_atau_hari_libur,fluk_cuaca,fluk_jam_saya_bekerja,fluk_jumlah_pesanan_atau_project_yang_masuk,fluk_kondisi_fisik___capek___sakit,fluk_rating_atau_ulasan_pelanggan,fluk_tanggal_gajian___akhir_bulan,fitur_pengingat_kalau_penghasilan_sedang_turun,fitur_perkiraan_penghasilan_minggu_depan,fitur_ringkasan_pemasukan_dan_pengeluaran,fitur_saran_batas_pengeluaran_minggu_ini,fitur_saran_menabung,monthly_income,income_volatility,income_cv,income_trend,is_income_growing,total_jam_seminggu,kapasitas_jam_bulanan,intensitas_kerja_rel,experience_months_log,exp_score,income_stability,gig_type_content_creator,gig_type_freelancer_desain,gig_type_freelancer_it,gig_type_jualan_online,gig_type_kurir,gig_type_ojek_online,gig_type_pekerja_harian,gig_type_tutor,domisili_code_bali,domisili_code_bandung,domisili_code_jabodetabek,domisili_code_jawa_barat_lainnya,domisili_code_jawa_tengah,domisili_code_jawa_timur,domisili_code_kalimantan,domisili_code_sulawesi,domisili_code_sumatera,experience_tier_junior,experience_tier_mid,experience_tier_senior
26,WhatsApp / kenalan / pelanggan langsung,2,19,7,7,150000,275000,270000,335000,4,"Ramadan / menjelang Lebaran, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Kondisi fisik / capek / sakit",5,"Ringkasan pemasukan dan pengeluaran, Saran menabung, Perkiraan penghasilan minggu depan",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1030000,77513.4396948899,0.30102189775919275,185000,1,49,196,1.1395348837209303,2.995732273553991,3.8944519556201884,sedang,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
26,Gojek,0,72,6,7,300000,16800,325000,330000,4,"Ramadan / menjelang Lebaran, Saat cuaca bagus","Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,Ringkasan pemasukan dan pengeluaran,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,971800,151336.74372075012,0.6229105610627251,30000,1,42,168,0.7636363636363637,4.290459441148391,3.0033216088038737,volatil,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,Gojek,1,20,7,11,550000,360000,760000,325000,3,"Saat cuaca bagus, Akhir pekan / Sabtu-Minggu",Jumlah pesanan atau project yang masuk,3,"Ringkasan pemasukan dan pengeluaran, Saran batas pengeluaran minggu ini",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1995000,200265.44884228034,0.4015339294403026,-225000,0,77,308,1.4,3.044522437723423,3.044522437723423,volatil,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",2,3,3,3,210000,120000,150000,120000,0,"Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja",5,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran",0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,600000,42426.40687119285,0.28284082686910655,-90000,0,9,36,0.6923076923076923,1.3862943611198906,1.8021826694558578,sedang,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
41,WhatsApp / kenalan / pelanggan langsung,1,14,5,9,400000,335000,440000,300000,3,"Akhir pekan / Sabtu-Minggu, Ramadan / menjelang Lebaran, Awal bulan","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",2,"Ringkasan pemasukan dan pengeluaran, Saran batas pengeluaran minggu ini",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1475000,63031.07699116894,0.17093127067091057,-100000,0,45,180,1.0465116279069768,2.70805020110221,2.70805020110221,sedang,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
30,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",1,19,5,6,840000,650000,800000,400000,0,"Akhir bulan / tanggal gajian, Awal bulan, Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Tanggal gajian / akhir bulan",3,"Saran menabung, Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran",0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,2690000,199227.67545365443,0.29624889101080065,-440000,0,30,120,0.967741935483871,2.995732273553991,2.995732273553991,sedang,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",0,31,5,6,325000,195000,380000,195000,3,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Jam saya bekerja, Tanggal gajian / akhir bulan",1,"Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran, Saran menabung",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1095000,93663.84930519707,0.34214979782794247,-130000,0,30,120,1.2,3.4657359027997265,2.4260151319598084,sedang,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
22,"Projects.co.id, Instagram / TikTok / YouTube",0,24,4,3,400000,250000,200000,280000,1,Awal bulan,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Rating atau ulasan pelanggan",5,Pengingat kalau penghasilan sedang turun,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1130000,85000.0,0.3008838906764932,-120000,0,12,48,0.48,3.2188758248682006,2.2532130774077404,sedang,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
17,Website freelance seperti Fiverr,1,77,5,5,660000,780000,1000000,810000,3,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Rating atau ulasan pelanggan",5,"Ringkasan pemasukan dan pengeluaran, Pengingat kalau penghasilan sedang turun, Perkiraan penghasilan minggu depan",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,3250000,140801.27840328723,0.17329366782722389,150000,1,25,100,0.8771929824561403,4.356708826689592,4.356708826689592,sedang,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27,"Website freelance seperti Fiverr, Instagram / TikTok / YouTube",2,14,5,8,175000,175000,210000,175000,3,"Awal bulan, Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja",3,"Pengingat kalau penghasilan sedang turun, Saran menabung, Ringkasan pemasukan dan pengeluaran",0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,735000,17500.0,0.0952375769383568,0,0,40,160,1.6,2.70805020110221,3.5204652614328733,stabil,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
