provinsi,bps_jasa_monthly,tahun,tipe,bps_jasa_weekly
DKI JAKARTA,4290447.0,2025,informal,1072611.75
JAWA BARAT,2073188.0,2025,informal,518297.0
JAWA TENGAH,1683852.0,2025,informal,420963.0
DI YOGYAKARTA,1853594.0,2025,informal,463398.5
JAWA TIMUR,1843822.0,2025,informal,460955.5
BANTEN,2507255.0,2025,informal,626813.75
KALIMANTAN SELATAN,2283361.0,2025,informal,570840.25
KALIMANTAN TENGAH,2615998.0,2025,informal,653999.5
NUSA TENGGARA BARAT,1870598.0,2025,informal,467649.5
BALI,3047084.0,2025,informal,761771.0
KALIMANTAN BARAT,2417990.0,2025,informal,604497.5
NUSA TENGGARA TIMUR,1659466.0,2025,informal,414866.5
BENGKULU,2076902.0,2025,informal,519225.5
LAMPUNG,1944312.0,2025,informal,486078.0
KEPULAUAN BANGKA BELITUNG,2387851.0,2025,informal,596962.75
KEPULAUAN RIAU,3458400.0,2025,informal,864600.0
JAMBI,2638021.0,2025,informal,659505.25
SUMATERA SELATAN,2137495.0,2025,informal,534373.75
RIAU,2464143.0,2025,informal,616035.75
SUMATERA BARAT,2048174.0,2025,informal,512043.5
SUMATERA UTARA,2149730.0,2025,informal,537432.5
ACEH,1938062.0,2025,informal,484515.5
SULAWESI TENGGARA,2149051.0,2025,informal,537262.75
SULAWESI SELATAN,2113452.0,2025,informal,528363.0
SULAWESI TENGAH,2226174.0,2025,informal,556543.5
SULAWESI UTARA,2372046.0,2025,informal,593011.5
KALIMANTAN UTARA,2676771.0,2025,informal,669192.75
KALIMANTAN TIMUR,3136926.0,2025,informal,784231.5
PAPUA PEGUNUNGAN,5048751.0,2025,informal,1262187.75
PAPUA TENGAH,3614986.0,2025,informal,903746.5
PAPUA SELATAN,3588561.0,2025,informal,897140.25
PAPUA,2970698.0,2025,informal,742674.5
PAPUA BARAT DAYA,2845889.0,2025,informal,711472.25
PAPUA BARAT,2512342.0,2025,informal,628085.5
MALUKU UTARA,2665470.0,2025,informal,666367.5
MALUKU,1945044.0,2025,informal,486261.0
SULAWESI BARAT,2283977.0,2025,informal,570994.25
GORONTALO,1732639.0,2025,informal,433159.75
KEP. BANGKA BELITUNG,1876200.0,2024,bebas,469050.0
KEP. RIAU,1624200.0,2024,bebas,406050.0
