user_id,gig_type,age,is_main_income,tenure_months,days_per_week,hours_per_day,income_week1,income_week2,income_week3,income_week4,target_income,peak_week,data_source,gig_type_encoded,rolling_mean_4w,rolling_std_4w,income_volatility,income_growth_1w,income_trend_slope,weekly_work_hours,income_per_hour,is_payday_week,lag_1w,lag_2w,lag_3w,lag_4w,recent_vs_avg
REAL_0000,freelance_creative,24,1,22,6,3,480000,480000,385000,305000,480000,2,survey,2,412500.0,84508.38222724812,0.2049,0.0,62000.0,18,21711.0,0,480000,480000,385000,305000,1.1636
REAL_0001,seller_online,28,1,19,7,5,1017300,974200,735000,994200,1017300,4,survey,6,930175.0,131303.01786326163,0.1412,0.0442,30850.0,35,25838.0,1,1017300,974200,735000,994200,1.0937
REAL_0002,pekerja_harian,31,0,20,7,9,250000,520000,470000,450000,250000,3,survey,5,422500.0,118708.3260208258,0.281,-0.5192,-55000.0,63,6602.0,0,250000,520000,470000,450000,0.5917
REAL_0003,pekerja_harian,31,2,61,5,8,210000,330000,455000,260000,210000,1,survey,5,313750.0,106252.45095212314,0.3387,-0.3636,-27500.0,40,7652.0,1,210000,330000,455000,260000,0.6693
REAL_0004,kurir,47,0,21,7,7,350000,225000,300000,435000,350000,0,survey,4,327500.0,88175.96044274198,0.2692,0.5556,-33000.0,49,6550.0,0,350000,225000,300000,435000,1.0687
REAL_0005,kurir,41,2,24,5,9,820000,370000,395000,140000,820000,1,survey,4,431250.0,283442.3809759813,0.6573,1.2162,201500.0,45,9375.0,1,820000,370000,395000,140000,1.9014
REAL_0006,tutor,22,0,66,4,3,335000,255000,25000,190000,335000,4,survey,7,201250.0,131616.55164403399,0.654,0.3137,66500.0,12,15481.0,1,335000,255000,25000,190000,1.6646
REAL_0007,seller_online,32,0,14,6,6,330000,695000,580000,715000,330000,1,survey,6,580000.0,176965.15664578343,0.3051,-0.5252,-104000.0,36,15676.0,1,330000,695000,580000,715000,0.569
REAL_0008,driver_online,37,2,37,5,10,830000,455000,540000,600000,830000,1,survey,1,606250.0,160591.35510149147,0.2649,0.8242,60500.0,50,11887.0,1,830000,455000,540000,600000,1.3691
REAL_0009,seller_online,17,0,18,6,6,760000,260000,550000,700000,760000,2,survey,6,567500.0,223215.14285549714,0.3933,1.9231,-11000.0,36,15338.0,0,760000,260000,550000,700000,1.3392
REAL_0010,pekerja_harian,24,1,34,7,6,870000,470000,365000,385000,870000,0,survey,5,522500.0,236096.73158827648,0.4519,0.8511,156000.0,42,12151.0,0,870000,470000,365000,385000,1.6651
REAL_0011,driver_online,38,1,78,7,8,785000,770000,495000,790000,785000,4,survey,1,710000.0,143585.05028959896,0.2022,0.0195,26000.0,56,12456.0,1,785000,770000,495000,790000,1.1056
REAL_0012,seller_online,39,0,14,4,4,355000,50000,145000,140000,355000,0,survey,6,172500.0,129260.71844660825,0.7493,6.0999,55000.0,16,10147.0,0,355000,50000,145000,140000,2.058
REAL_0013,seller_online,27,1,56,5,3,460000,500000,440000,50000,460000,0,survey,6,362500.0,209821.35258357288,0.5788,-0.08,129000.0,15,22656.0,0,460000,500000,440000,50000,1.269
REAL_0014,freelance_creative,21,1,7,2,3,110000,115000,220000,275000,110000,0,survey,2,180000.0,81137.74296425389,0.4508,-0.0435,-60000.0,6,25714.0,0,110000,115000,220000,275000,0.6111
REAL_0015,freelance_creative,23,0,27,4,7,70000,20000,65000,130000,70000,1,survey,2,71250.0,45161.74634946409,0.6338,2.4999,-22500.0,28,2457.0,1,70000,20000,65000,130000,0.9824
REAL_0016,pekerja_harian,28,2,16,6,9,440000,515000,330000,580000,440000,1,survey,5,466250.0,107344.84927869929,0.2302,-0.1456,-23500.0,54,8477.0,1,440000,515000,330000,580000,0.9437
REAL_0017,freelance_creative,21,1,16,2,3,125000,120000,110000,100000,125000,4,survey,2,113750.0,11086.778913041726,0.0975,0.0417,8500.0,6,16250.0,1,125000,120000,110000,100000,1.0989
REAL_0018,content_creator,22,0,36,3,6,75000,145000,135000,140000,75000,4,survey,0,123750.0,32755.40667838924,0.2647,-0.4828,-18500.0,18,6513.0,1,75000,145000,135000,140000,0.6061
REAL_0019,seller_online,21,2,14,5,6,30000,735000,495000,645000,30000,1,survey,6,476250.0,313538.2751754561,0.6583,-0.9592,-160500.0,30,15363.0,1,30000,735000,495000,645000,0.063
REAL_0020,content_creator,25,0,6,2,5,190000,215000,85000,40000,190000,0,survey,0,132500.0,83516.46544245032,0.6303,-0.1163,58000.0,10,12045.0,0,190000,215000,85000,40000,1.434
REAL_0021,kurir,27,2,70,5,8,510000,305000,375000,515000,510000,0,survey,4,426250.0,103631.96096443091,0.2431,0.6721,-8500.0,40,10396.0,0,510000,305000,375000,515000,1.1965
REAL_0022,pekerja_harian,22,2,17,6,8,90000,355000,530000,115000,90000,2,survey,5,272500.0,209145.08520801214,0.7675,-0.7465,-25000.0,48,5561.0,0,90000,355000,530000,115000,0.3303
REAL_0023,seller_online,30,2,39,5,5,735000,660000,270000,425000,735000,2,survey,6,522500.0,213950.92895334668,0.4095,0.1136,132000.0,25,20096.0,0,735000,660000,270000,425000,1.4067
REAL_0024,freelance_it,25,0,24,6,4,595000,460000,1006900,495000,595000,2,survey,3,639225.0,251703.00455099856,0.3938,0.2935,-24690.0,24,25569.0,0,595000,460000,1006900,495000,0.9308
REAL_0025,pekerja_harian,34,1,12,7,9,805000,770000,640000,505000,805000,0,survey,5,680000.0,136565.00283747664,0.2008,0.0455,103000.0,63,10625.0,0,805000,770000,640000,505000,1.1838
REAL_0026,seller_online,28,1,16,3,4,300000,290000,185000,70000,300000,3,survey,6,211250.0,107577.4914499621,0.5092,0.0345,79500.0,12,16250.0,0,300000,290000,185000,70000,1.4201
REAL_0027,seller_online,26,0,16,6,7,45000,215000,275000,215000,45000,2,survey,6,187500.0,99121.13800799505,0.5286,-0.7907,-57000.0,42,4360.0,0,45000,215000,275000,215000,0.24
REAL_0028,content_creator,21,0,35,3,4,140000,200000,240000,115000,140000,1,survey,0,173750.0,56770.73776750366,0.3267,-0.3,3500.0,12,13365.0,1,140000,200000,240000,115000,0.8058
REAL_0029,freelance_creative,26,1,70,3,5,305000,270000,390000,430000,305000,0,survey,2,348750.0,73979.16373322063,0.2121,0.1296,-49500.0,15,21797.0,0,305000,270000,390000,430000,0.8745
REAL_0030,content_creator,24,0,16,3,2,90000,125000,65000,0,90000,3,survey,0,70000.0,52757.305971148046,0.7537,-0.28,33000.0,6,10000.0,0,90000,125000,65000,0,1.2857
REAL_0031,kurir,33,2,11,6,8,895000,375000,590000,120000,895000,1,survey,4,495000.0,328658.89105068595,0.664,1.3867,211000.0,48,10102.0,1,895000,375000,590000,120000,1.8081
REAL_0032,freelance_creative,20,0,12,4,6,80000,325000,335000,395000,80000,0,survey,2,283750.0,139306.31715755034,0.4909,-0.7538,-95500.0,24,11350.0,0,80000,325000,335000,395000,0.2819
REAL_0033,freelance_it,25,2,44,4,6,420000,815000,900000,10000,420000,1,survey,3,536250.0,408439.612019533,0.7617,-0.4847,114500.0,24,21450.0,1,420000,815000,900000,10000,0.7832
REAL_0034,driver_online,43,2,13,6,9,850000,395000,405000,180000,850000,1,survey,1,457500.0,281498.96388204815,0.6153,1.1519,200000.0,54,8318.0,1,850000,395000,405000,180000,1.8579
REAL_0035,freelance_creative,26,0,18,4,6,210000,280000,195000,240000,210000,1,survey,2,231250.0,37500.0,0.1622,-0.25,-500.0,24,9250.0,1,210000,280000,195000,240000,0.9081
REAL_0036,content_creator,20,2,18,4,4,180000,235000,330000,320000,180000,4,survey,0,266250.0,71574.5532061966,0.2688,-0.234,-51500.0,16,15662.0,1,180000,235000,330000,320000,0.6761
REAL_0037,freelance_creative,21,1,4,4,4,570000,590000,475000,300000,570000,0,survey,2,483750.0,132374.15407346957,0.2736,-0.0339,92500.0,16,28456.0,0,570000,590000,475000,300000,1.1783
REAL_0038,content_creator,21,0,47,3,5,110000,155000,80000,130000,110000,4,survey,0,118750.0,31721.4438511238,0.2671,-0.2903,1500.0,15,7422.0,1,110000,155000,80000,130000,0.9263
REAL_0039,freelance_creative,22,0,33,3,7,300000,150000,175000,250000,300000,2,survey,2,218750.0,68844.63184107628,0.3147,1.0,12500.0,21,9943.0,0,300000,150000,175000,250000,1.3714
REAL_0040,kurir,41,2,74,7,8,355000,430000,565000,760000,355000,2,survey,4,527500.0,177693.5564391686,0.3369,-0.1744,-135000.0,56,9254.0,0,355000,430000,565000,760000,0.673
REAL_0041,seller_online,38,1,30,7,6,500000,845000,530000,325000,500000,3,survey,6,550000.0,216448.60821913363,0.3935,-0.4083,84000.0,42,12791.0,0,500000,845000,530000,325000,0.9091
REAL_0042,pekerja_harian,35,2,17,6,9,720000,755000,800000,710000,720000,4,survey,5,746250.0,40697.051490249265,0.0545,-0.0464,-1500.0,54,13568.0,1,720000,755000,800000,710000,0.9648
REAL_0043,pekerja_harian,27,2,77,7,8,525000,615000,40000,275000,525000,4,survey,5,363750.0,259370.23087984993,0.713,-0.1463,132500.0,56,6382.0,1,525000,615000,40000,275000,1.4433
REAL_0044,seller_online,28,1,73,5,7,190000,280000,475000,400000,190000,0,survey,6,336250.0,126318.0509665978,0.3757,-0.3214,-82500.0,35,9340.0,0,190000,280000,475000,400000,0.5651
