gig_type_encoded,age,is_main_income,tenure_months,days_per_week,hours_per_day,weekly_work_hours,lag_1w,lag_2w,lag_3w,lag_4w,rolling_mean_4w,rolling_std_4w,income_volatility,income_growth_1w,income_trend_slope,income_per_hour,is_payday_week,recent_vs_avg,peak_week,target_income
6,35,0,68,7,1,7,378000,390000,478500,477500,431000.0,54493.11883164699,0.1264,-0.0308,-38700.0,53875.0,0,0.877,2,405000
4,30,2,22,6,8,48,680000,800000,665000,580000,681250.0,90588.3546599672,0.133,-0.15,43500.0,13903.0,0,0.9982,2,680000
6,17,0,43,6,10,60,364000,245500,148500,275000,258250.0,88828.01735188434,0.344,0.4827,36400.0,4234.0,0,1.4095,3,240500
0,28,2,21,5,7,35,230000,270000,250000,250000,250000.0,16329.93161855452,0.0653,-0.1481,-4000.0,6944.0,1,0.92,1,230000
4,26,0,7,7,8,56,150000,225000,160000,190000,181250.0,33757.715167548486,0.1862,-0.3333,-5500.0,3180.0,1,0.8276,1,150000
4,29,1,24,7,8,56,545000,760000,880000,1150000,833750.0,252301.9024898544,0.3026,-0.2829,-193500.0,14627.0,1,0.6537,4,545000
1,36,1,20,7,11,77,550000,360000,760000,325000,498750.0,200265.44884228034,0.4015,0.5278,27500.0,6394.0,0,1.1028,3,550000
1,35,1,29,7,8,56,700000,850000,930000,790000,817500.0,97082.43919473799,0.1188,-0.1765,-35000.0,14342.0,0,0.8563,0,700000
6,22,2,44,5,8,40,100000,150000,155000,100000,126250.0,30379.543555930308,0.2406,-0.3333,-500.0,3079.0,0,0.7921,0,100000
1,40,1,22,7,9,63,500000,555000,565000,1200000,705000.0,331235.06255628593,0.4698,-0.0991,-211000.0,11016.0,1,0.7092,4,500000
5,47,2,21,6,6,36,520000,420000,25000,500000,366250.0,231566.2252286949,0.6323,0.2381,45500.0,9899.0,0,1.4198,0,520000
5,38,0,61,4,5,20,362500,363500,460000,514000,425000.0,74909.94593510263,0.1763,-0.0028,-55100.0,20238.0,1,0.8529,1,451000
6,21,2,1,4,4,16,180000,160000,10000,230000,145000.0,94692.4847422786,0.653,0.125,0.0,8529.0,1,1.2414,1,180000
6,21,0,40,3,6,18,289000,360500,429500,527500,401625.0,101648.39316650968,0.2531,-0.1983,-78450.0,21138.0,0,0.7196,0,521500
0,33,0,59,3,9,27,296000,256000,222000,271500,261375.0,30987.564710165054,0.1186,0.1562,10750.0,9335.0,1,1.1325,4,278500
5,39,2,80,7,10,70,250000,200000,225000,430000,276250.0,104512.75839181869,0.3783,0.25,-56500.0,3891.0,1,0.905,4,250000
6,41,2,33,6,4,24,1050000,1000000,870000,875000,948750.0,90404.18500637382,0.0953,0.05,65500.0,37950.0,1,1.1067,1,1050000
0,40,2,2,6,5,30,271500,290000,260000,394500,304000.0,61585.98325376752,0.2026,-0.0638,-33900.0,9806.0,0,0.8931,2,419000
6,17,1,62,6,6,36,1200000,1050000,930000,1080000,1065000.0,110905.36506409418,0.1041,0.1429,48000.0,28784.0,1,1.1268,1,1200000
4,22,2,36,6,8,48,520000,650000,520000,650000,585000.0,75055.53499465135,0.1283,-0.2,-26000.0,11939.0,0,0.8889,2,520000
5,29,1,54,3,5,15,725000,310000,725000,250000,502500.0,258085.90301163937,0.5136,1.3387,101000.0,31406.0,1,1.4428,1,725000
1,51,0,62,5,8,40,652000,599500,815500,911000,744500.0,144157.89954074664,0.1936,0.0876,-99300.0,18159.0,0,0.8758,0,951000
7,21,1,6,2,5,10,315000,270000,160000,410000,288750.0,103792.66191146013,0.3595,0.1667,-17500.0,26250.0,1,1.0909,4,315000
3,26,1,56,4,6,24,1270000,1075000,790000,375000,877500.0,388683.6760143137,0.4429,0.1814,297000.0,35100.0,1,1.4473,1,1270000
4,32,2,21,6,8,48,585000,1280000,1350000,1070000,1071250.0,345310.8502977185,0.3223,-0.543,-152500.0,21862.0,0,0.5461,0,585000
0,18,1,63,3,3,9,170000,345000,260000,230000,251250.0,72844.01142166732,0.2899,-0.5072,-9500.0,25125.0,1,0.6766,1,170000
