usia,status_income,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari,income_w1,income_w2,income_w3,income_w4,peak_week,app_helpful_score,src_gojek,src_grab,src_instagram___tiktok___youtube,src_maxim,src_projects_co_id,src_shopee___tokopedia___tiktok_shop,src_shopeefood,src_upwork,src_website_freelance_seperti_fiverr,src_whatsapp___kenalan___pelanggan_langsung,ramai_akhir_bulan___tanggal_gajian,ramai_akhir_pekan___sabtu_minggu,ramai_awal_bulan,ramai_harbolnas___flash_sale_online___tanggal_,ramai_ramadan___menjelang_lebaran,ramai_saat_ada_promo_dari_aplikasi,ramai_saat_cuaca_bagus,fluk_ada_atau_tidaknya_promo_dari_aplikasi,fluk_akhir_pekan_atau_hari_libur,fluk_cuaca,fluk_jam_saya_bekerja,fluk_jumlah_pesanan_atau_project_yang_masuk,fluk_kondisi_fisik___capek___sakit,fluk_rating_atau_ulasan_pelanggan,fluk_tanggal_gajian___akhir_bulan,monthly_income,income_volatility,income_cv,income_trend,is_income_growing,total_jam_seminggu,income_per_jam_est,experience_months_log,gig_type_content_creator,gig_type_freelancer_desain,gig_type_freelancer_it,gig_type_jualan_online,gig_type_kurir,gig_type_ojek_online,gig_type_pekerja_harian,gig_type_tutor,domisili_code_bali,domisili_code_bandung,domisili_code_jabodetabek,domisili_code_jawa_barat_lainnya,domisili_code_jawa_tengah,domisili_code_jawa_timur,domisili_code_kalimantan,domisili_code_sulawesi,domisili_code_sumatera,experience_tier_junior,experience_tier_mid,experience_tier_senior
26,2,19,7,7,150000,275000,270000,335000,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1030000,77513.4396948899,0.30102189775919275,185000,1,49,761.4213197969543,2.995732273553991,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
26,0,72,6,7,300000,16800,325000,330000,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,971800,151336.74372075012,0.6229105610627251,30000,1,42,1775.1479289940828,4.290459441148391,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,1,20,7,11,550000,360000,760000,325000,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1995000,200265.44884228034,0.4015339294403026,-225000,0,77,1779.9352750809062,3.044522437723423,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22,2,3,3,3,210000,120000,150000,120000,0,5,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,600000,42426.40687119285,0.28284082686910655,-90000,0,9,5675.675675675676,1.3862943611198906,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
41,1,14,5,9,400000,335000,440000,300000,3,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1475000,63031.07699116894,0.17093127067091057,-100000,0,45,2209.9447513812156,2.70805020110221,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
30,1,19,5,6,840000,650000,800000,400000,0,3,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2690000,199227.67545365443,0.29624889101080065,-440000,0,30,6942.148760330579,2.995732273553991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26,0,31,5,6,325000,195000,380000,195000,3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1095000,93663.84930519707,0.34214979782794247,-130000,0,30,2685.9504132231405,3.4657359027997265,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
22,0,24,4,3,400000,250000,200000,280000,1,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1130000,85000.0,0.3008838906764932,-120000,0,12,8163.265306122449,3.2188758248682006,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
17,1,77,5,5,660000,780000,1000000,810000,3,5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,3250000,140801.27840328723,0.17329366782722389,150000,1,25,6534.653465346535,4.356708826689592,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27,2,14,5,8,175000,175000,210000,175000,3,3,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,735000,17500.0,0.0952375769383568,0,0,40,1086.9565217391305,2.70805020110221,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,1,10,6,9,500000,640000,575000,630000,4,3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,2345000,64209.942116985796,0.1095263668923137,130000,1,54,2304.147465437788,2.3978952727983707,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,2,17,5,5,750000,600000,575000,975000,2,4,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2900000,183711.73070873835,0.25339514112220307,225000,1,25,7425.742574257426,2.8903717578961645,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41,2,21,6,7,1040000,1125000,900000,735000,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3800000,170733.71078963872,0.17971950638961298,-305000,0,42,6153.846153846154,3.091042453358316,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
22,1,2,5,8,675000,715000,540000,580000,2,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2510000,81291.65598838132,0.12954824930698328,-95000,0,40,4192.546583850932,1.0986122886681096,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17,0,30,4,5,160000,200000,165000,255000,4,4,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,780000,43779.751788545655,0.22451039629820183,95000,1,20,1975.3086419753085,3.4339872044851463,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,1,17,4,4,425000,400000,745000,425000,1,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1995000,164589.1349188437,0.3300026163733881,0,0,16,6538.461538461538,2.8903717578961645,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
27,1,4,3,7,260000,275000,10000,15000,2,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,560000,147365.75812130395,1.0526050394018895,-245000,0,21,3058.823529411765,1.6094379124341003,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
35,1,55,5,4,825000,780000,400000,580000,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,2585000,195677.24275789797,0.30278830169376597,-245000,0,20,10185.185185185184,4.02535169073515,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
34,0,9,6,6,640000,380000,725000,710000,3,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,2455000,160175.68479641346,0.2609782872800427,70000,1,36,4413.793103448276,2.302585092994046,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
26,0,35,3,4,325000,600000,315000,270000,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1510000,150249.7920131672,0.3980116397391456,-55000,0,12,6632.65306122449,3.58351893845611,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,2,1,7,7,40000,40000,610000,940000,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1630000,445224.6623896749,1.0925731774637975,900000,1,49,203.0456852791878,0.6931471805599453,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,2,26,6,7,560000,600000,885000,490000,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2535000,173559.5478983126,0.2738607874359371,-70000,0,42,3313.609467455621,3.295836866004329,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27,0,7,6,5,625000,16800,380000,430000,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1451800,253821.74191086678,0.699327848417188,-195000,0,30,5165.289256198347,2.0794415416798357,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27,2,26,5,6,105000,225000,200000,200000,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,730000,52993.710318615485,0.29037490380115993,95000,1,30,867.7685950413223,3.295836866004329,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22,0,45,5,5,260000,275000,275000,350000,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1160000,40620.1920231798,0.14006914466908665,90000,1,25,2574.2574257425745,3.828641396489095,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
23,1,33,3,2,275000,275000,250000,215000,1,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1015000,28394.54172900137,0.11189923085623847,-60000,0,6,11000.0,3.5263605246161616,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
28,1,43,6,8,400000,25000,505000,465000,1,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1395000,220127.80378680018,0.6311890253699636,65000,1,48,2072.538860103627,3.784189633918261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,0,23,4,2,200000,225000,180000,155000,2,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,760000,29720.924166878343,0.1564250933778156,-45000,0,8,6060.606060606061,3.1780538303479458,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,1,15,7,9,1336200,485000,1350000,1342800,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,4514000,429037.0147201754,0.38018310548256085,6600,1,63,5281.422924901186,2.772588722239781,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
28,1,3,3,7,375000,200000,290000,175000,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1040000,91195.76013536302,0.3507515745530326,-200000,0,21,4411.764705882353,1.3862943611198906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
17,1,41,6,3,475000,495000,450000,430000,2,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1850000,28431.203515386635,0.06147273955166937,-45000,0,18,6506.8493150684935,3.7376696182833684,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,1,13,3,5,775000,730000,620000,35000,3,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2160000,342904.26263511705,0.6350067178303689,-740000,0,15,12704.918032786885,2.639057329615259,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
34,0,3,6,5,370000,400000,320000,275000,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1365000,55132.41635674363,0.1615597210169161,-95000,0,30,3057.8512396694214,1.3862943611198906,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,1,56,7,8,450000,520000,640000,575000,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2185000,80764.57556792251,0.14785249925020277,125000,1,56,2000.0,4.04305126783455,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,0,11,4,3,400000,320000,850000,300000,3,3,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1870000,258634.2333618399,0.5532271232828163,-100000,0,12,8163.265306122449,2.4849066497880004,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
34,2,48,6,9,825000,1273200,1350000,530000,3,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3978200,386671.44968306104,0.3887899662089335,-295000,0,54,3801.84331797235,3.8918202981106265,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
25,0,39,5,6,260000,260000,205000,185000,1,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,910000,38405.72873934304,0.16881564801624185,-75000,0,30,2148.7603305785124,3.6888794541139363,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
31,0,20,3,6,240000,100000,280000,130000,3,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,750000,86168.43969807043,0.45956256072271845,-110000,0,18,3287.671232876712,3.044522437723423,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
33,2,15,6,8,500000,930000,775000,760000,1,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2965000,178249.5909298719,0.24047129910094137,260000,1,48,2590.6735751295337,2.772588722239781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
24,0,10,6,4,300000,175000,195000,250000,1,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,920000,56421.03626603585,0.24530778677499598,-50000,0,24,3092.783505154639,2.3978952727983707,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
37,2,16,7,7,590000,870000,600000,700000,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2760000,129871.73159185438,0.1882196280756903,110000,1,49,2994.92385786802,2.833213344056216,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
35,0,11,6,8,650000,380000,575000,780000,4,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2385000,167201.22607205965,0.280420873209537,130000,1,48,3367.875647668394,2.4849066497880004,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
