respondent_id,dataset_type,target_week,current_week,weeks_observed,target_date,next_week_income,next_week_direction,current_income,lag_1_income,lag_2_income,lag_3_income,has_lag_2,has_lag_3,rolling_mean_income,rolling_std_income,rolling_min_income,rolling_max_income,rolling_range_income,income_trend_abs,income_trend_pct,last_income_change_abs,last_income_change_pct,previous_direction,is_previous_week_up,is_previous_week_down,is_previous_week_stable,target_month,target_week_of_month,target_quarter,target_is_month_start,target_is_month_end,target_is_payday_period,target_is_weekend,target_is_christmas_year_end,target_is_new_year,usia,gig_type_enc,domisili_code_enc,experience_months_log,hari_kerja_per_minggu,jam_kerja_per_hari,total_jam_seminggu,bps_jasa_weekly,status_income,peak_week,src_fiverr,src_gojek,src_grab,src_instagram,src_langsung,src_shopee,src_tiktok,src_tokopedia,src_upwork,src_whatsapp,ramai_akhir_bulan_gajian,ramai_akhir_pekan,ramai_awal_bulan,ramai_harbolnas_flashsale,ramai_promo_aplikasi,ramai_ramadan_lebaran,fluk_akhir_pekan_hari_libur,fluk_cuaca,fluk_jam_kerja,fluk_jumlah_pesanan_project,fluk_kondisi_fisik,fluk_promo_aplikasi,fluk_rating_ulasan,fluk_tanggal_gajian_akhir_bulan,pref_awal_bulan,pref_harbolnas,pref_payday,pref_promo_aplikasi,pref_ramadan_lebaran,pref_weekend,gig_jualan_online,gig_pekerja_harian,gig_freelance_desain,gig_ojek_online,gig_kurir,gig_freelance_it,gig_tutor,gig_content_creator,previous_direction_enc
R0001,real_4w,2,1,1,2026-04-26 01:06:28,16800.0,Down,300000.0,300000.0,0.0,0.0,0,0,300000.0,0.0,300000.0,300000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,1,0,0,26,5,1,4.290459441148391,6,7,42,518297.0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
R0001,real_4w,3,2,2,2026-04-19 01:06:28,325000.0,Up,16800.0,16800.0,300000.0,0.0,1,0,158400.0,141600.0,16800.0,300000.0,283200.0,-283200.0,-0.944,-283200.0,-0.944,Down,0,1,0,4,3,2,0,0,0,1,0,0,26,5,1,4.290459441148391,6,7,42,518297.0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
R0001,real_4w,4,3,3,2026-04-12 01:06:28,330000.0,Stable,325000.0,325000.0,16800.0,300000.0,1,1,213933.33333333334,139767.45766530285,16800.0,325000.0,308200.0,308200.0,18.345238095238095,308200.0,18.345238095238095,Up,1,0,0,4,2,2,0,0,0,1,0,0,26,5,1,4.290459441148391,6,7,42,518297.0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
R0003,real_4w,2,1,1,2026-04-26 05:55:08,120000.0,Down,210000.0,210000.0,0.0,0.0,0,0,210000.0,0.0,210000.0,210000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,1,0,0,22,7,5,1.3862943611198906,3,3,9,460955.5,2,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
R0003,real_4w,3,2,2,2026-04-19 05:55:08,150000.0,Up,120000.0,120000.0,210000.0,0.0,1,0,165000.0,45000.0,120000.0,210000.0,90000.0,-90000.0,-0.42857142857142855,-90000.0,-0.42857142857142855,Down,0,1,0,4,3,2,0,0,0,1,0,0,22,7,5,1.3862943611198906,3,3,9,460955.5,2,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
R0003,real_4w,4,3,3,2026-04-12 05:55:08,120000.0,Down,150000.0,150000.0,120000.0,210000.0,1,1,160000.0,37416.57386773941,120000.0,210000.0,90000.0,30000.0,0.25,30000.0,0.25,Up,1,0,0,4,2,2,0,0,0,1,0,0,22,7,5,1.3862943611198906,3,3,9,460955.5,2,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2
R0004,real_4w,2,1,1,2026-04-26 06:48:27,335000.0,Down,400000.0,400000.0,0.0,0.0,0,0,400000.0,0.0,400000.0,400000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,1,0,0,41,6,5,2.70805020110221,5,9,45,460955.5,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
R0004,real_4w,3,2,2,2026-04-19 06:48:27,440000.0,Up,335000.0,335000.0,400000.0,0.0,1,0,367500.0,32500.0,335000.0,400000.0,65000.0,-65000.0,-0.1625,-65000.0,-0.1625,Down,0,1,0,4,3,2,0,0,0,1,0,0,41,6,5,2.70805020110221,5,9,45,460955.5,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
R0004,real_4w,4,3,3,2026-04-12 06:48:27,300000.0,Down,440000.0,440000.0,335000.0,400000.0,1,1,391666.6666666667,43269.1832858239,335000.0,440000.0,105000.0,105000.0,0.31343283582089554,105000.0,0.31343283582089554,Up,1,0,0,4,2,2,0,0,0,1,0,0,41,6,5,2.70805020110221,5,9,45,460955.5,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2
R0005,real_4w,2,1,1,2026-04-26 07:05:10,650000.0,Down,840000.0,840000.0,0.0,0.0,0,0,840000.0,0.0,840000.0,840000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,1,0,0,30,3,7,2.995732273553991,5,6,30,559306.0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
