respondent_id,target_week,current_week,weeks_observed,target_date,next_week_income,next_week_direction,current_income,lag_1_income,lag_2_income,lag_3_income,has_lag_2,has_lag_3,rolling_mean_income,rolling_std_income,rolling_min_income,rolling_max_income,rolling_range_income,income_trend_abs,income_trend_pct,last_income_change_abs,last_income_change_pct,previous_direction,is_previous_week_up,is_previous_week_down,is_previous_week_stable,target_month,target_week_of_month,target_quarter,target_is_month_start,target_is_month_end,target_is_payday_period,target_is_weekend,target_is_christmas_year_end,target_is_new_year,gig_type_enc,domisili_code_enc,usia,experience_months_log,hari_kerja_per_minggu,jam_kerja_per_hari,total_jam_seminggu,bps_jasa_weekly,status_income,peak_week,src_fiverr,src_gojek,src_grab,src_instagram,src_langsung,src_shopee,src_tiktok,src_tokopedia,src_upwork,src_whatsapp,ramai_akhir_bulan_gajian,ramai_akhir_pekan,ramai_awal_bulan,ramai_harbolnas_flashsale,ramai_promo_aplikasi,ramai_ramadan_lebaran,fluk_akhir_pekan_hari_libur,fluk_cuaca,fluk_jam_kerja,fluk_jumlah_pesanan_project,fluk_kondisi_fisik,fluk_promo_aplikasi,fluk_rating_ulasan,fluk_tanggal_gajian_akhir_bulan,pref_awal_bulan,pref_harbolnas,pref_payday,pref_promo_aplikasi,pref_ramadan_lebaran,pref_weekend,previous_direction_enc
R0000,2,1,1,2026-04-26 00:49:49,275000.0,Up,150000.0,150000.0,0.0,0.0,0,0,150000.0,0.0,150000.0,150000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,1,0,0,2,3,26,2.995732273553991,7,7,49,460955.5,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
R0000,3,2,2,2026-04-19 00:49:49,270000.0,Stable,275000.0,275000.0,150000.0,0.0,1,0,212500.0,62500.0,150000.0,275000.0,125000.0,125000.0,0.8333333333333334,125000.0,0.8333333333333334,Up,1,0,0,4,3,2,0,0,0,1,0,0,2,3,26,2.995732273553991,7,7,49,460955.5,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2
R0000,4,3,3,2026-04-12 00:49:49,335000.0,Up,270000.0,270000.0,275000.0,150000.0,1,1,231666.66666666666,57783.119411199055,150000.0,275000.0,125000.0,-5000.0,-0.01818181818181818,-5000.0,-0.01818181818181818,Stable,0,0,1,4,2,2,0,0,0,1,0,0,2,3,26,2.995732273553991,7,7,49,460955.5,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
R0001,2,1,1,2026-04-26 01:06:28,16800.0,Down,300000.0,300000.0,0.0,0.0,0,0,300000.0,0.0,300000.0,300000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,1,0,0,1,0,26,4.290459441148391,6,7,42,518297.0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
R0001,3,2,2,2026-04-19 01:06:28,325000.0,Up,16800.0,16800.0,300000.0,0.0,1,0,158400.0,141600.0,16800.0,300000.0,283200.0,-283200.0,-0.944,-283200.0,-0.944,Down,0,1,0,4,3,2,0,0,0,1,0,0,1,0,26,4.290459441148391,6,7,42,518297.0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
R0001,4,3,3,2026-04-12 01:06:28,330000.0,Stable,325000.0,325000.0,16800.0,300000.0,1,1,213933.33333333334,139767.45766530285,16800.0,325000.0,308200.0,308200.0,18.345238095238095,308200.0,18.345238095238095,Up,1,0,0,4,2,2,0,0,0,1,0,0,1,0,26,4.290459441148391,6,7,42,518297.0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2
R0002,2,1,1,2026-04-26 04:11:27,360000.0,Down,550000.0,550000.0,0.0,0.0,0,0,550000.0,0.0,550000.0,550000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,1,0,0,1,0,36,3.044522437723423,7,11,77,518297.0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
R0002,3,2,2,2026-04-19 04:11:27,760000.0,Up,360000.0,360000.0,550000.0,0.0,1,0,455000.0,95000.0,360000.0,550000.0,190000.0,-190000.0,-0.34545454545454546,-190000.0,-0.34545454545454546,Down,0,1,0,4,3,2,0,0,0,1,0,0,1,0,36,3.044522437723423,7,11,77,518297.0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
R0002,4,3,3,2026-04-12 04:11:27,325000.0,Down,760000.0,760000.0,360000.0,550000.0,1,1,556666.6666666666,163367.3433979046,360000.0,760000.0,400000.0,400000.0,1.1111111111111112,400000.0,1.1111111111111112,Up,1,0,0,4,2,2,0,0,0,1,0,0,1,0,36,3.044522437723423,7,11,77,518297.0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
R0003,2,1,1,2026-04-26 05:55:08,120000.0,Down,210000.0,210000.0,0.0,0.0,0,0,210000.0,0.0,210000.0,210000.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,4,4,2,0,1,1,1,0,0,0,3,22,1.3862943611198906,3,3,9,460955.5,2,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
