respondent_id,dataset_type,target_idx,weeks_observed,next_week_income,next_week_direction,current_income,lag_1_income,lag_2_income,lag_3_income,has_lag_2,has_lag_3,rolling_mean_income,rolling_std_income,rolling_min_income,rolling_max_income,income_trend_abs,income_trend_pct,previous_direction,is_previous_week_up,is_previous_week_down,is_previous_week_stable,lag_ratio_1_to_mean,volatility_ratio,rolling_cv,rolling_median_income,rolling_last_vs_median_pct,usia,gig_type_enc,domisili_code_enc,experience_months_log,hari_kerja_per_minggu,jam_kerja_per_hari,total_jam_seminggu,bps_jasa_weekly,status_income,peak_week,src_freelance_web,src_gojek,src_grab,src_marketplace,src_maxim,src_shopeefood,src_sosmed,src_wa_langsung,ramai_akhir_bulan,ramai_awal_bulan,ramai_cuaca_bagus,ramai_harbolnas,ramai_natal,ramai_promo_app,ramai_ramadan,ramai_weekend,fluk_cuaca,fluk_gajian,fluk_jam_kerja,fluk_jumlah_pesanan,fluk_kondisi_fisik,fluk_promo_app,fluk_ramadan,fluk_rating,fluk_weekend,pref_awal_bulan,pref_harbolnas,pref_natal_tahun_baru,pref_payday,pref_promo_aplikasi,pref_ramadan_lebaran,pref_weekend,gig_ojek_online,gig_kurir,gig_jualan_online,gig_freelance_desain,gig_freelance_it,gig_content_creator,gig_tutor,gig_pekerja_harian,previous_direction_enc
R0000,real_4w,1,1,180000.0,Down,200000.0,200000.0,0.0,0.0,0,0,200000.0,0.0,200000.0,200000.0,0.0,0.0,Stable,0,0,1,1.0,0.0,0.0,200000.0,0.0,21,2,4,1.6094379124341003,2,4,8,125000.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
R0000,real_4w,2,2,0.0,Down,180000.0,180000.0,200000.0,0.0,1,0,190000.0,10000.0,180000.0,200000.0,-20000.0,-0.1,Down,0,1,0,0.9473684210526315,0.05263157894736842,0.05263157894736842,190000.0,-0.05263157894736842,21,2,4,1.6094379124341003,2,4,8,125000.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
R0000,real_4w,3,3,260000.0,Up,0.0,0.0,180000.0,200000.0,1,1,126666.66666666667,89938.25042154695,0.0,200000.0,-180000.0,-1.0,Down,0,1,0,0.0,0.7100388191174759,0.7100388191174759,180000.0,-1.0,21,2,4,1.6094379124341003,2,4,8,125000.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
R0001,real_4w,1,1,210000.0,Up,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Stable,0,0,1,1.0,0.0,0.0,0.0,0.0,31,1,3,1.791759469228055,5,4,20,175000.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
R0001,real_4w,2,2,180000.0,Down,210000.0,210000.0,0.0,0.0,1,0,105000.0,105000.0,0.0,210000.0,210000.0,0.0,Up,1,0,0,2.0,1.0,1.0,105000.0,1.0,31,1,3,1.791759469228055,5,4,20,175000.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
R0001,real_4w,3,3,235000.0,Up,180000.0,180000.0,210000.0,0.0,1,1,130000.0,92736.18495495703,0.0,210000.0,-30000.0,-0.14285714285714285,Down,0,1,0,1.3846153846153846,0.7133552688842849,0.7133552688842849,180000.0,0.0,31,1,3,1.791759469228055,5,4,20,175000.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
R0002,real_4w,1,1,215000.0,Down,330000.0,330000.0,0.0,0.0,0,0,330000.0,0.0,330000.0,330000.0,0.0,0.0,Stable,0,0,1,1.0,0.0,0.0,330000.0,0.0,25,2,1,1.6094379124341003,1,1,1,150000.0,0,3,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
R0002,real_4w,2,2,0.0,Down,215000.0,215000.0,330000.0,0.0,1,0,272500.0,57500.0,215000.0,330000.0,-115000.0,-0.3484848484848485,Down,0,1,0,0.7889908256880734,0.21100917431192662,0.21100917431192662,272500.0,-0.21100917431192662,25,2,1,1.6094379124341003,1,1,1,150000.0,0,3,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
R0002,real_4w,3,3,260000.0,Up,0.0,0.0,215000.0,330000.0,1,1,181666.66666666666,136768.25492619094,0.0,330000.0,-215000.0,-1.0,Down,0,1,0,0.0,0.7528527794102254,0.7528527794102254,215000.0,-1.0,25,2,1,1.6094379124341003,1,1,1,150000.0,0,3,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
R0003,real_4w,1,1,145000.0,Down,170000.0,170000.0,0.0,0.0,0,0,170000.0,0.0,170000.0,170000.0,0.0,0.0,Stable,0,0,1,1.0,0.0,0.0,170000.0,0.0,20,1,2,2.5649493574615367,3,2,6,130000.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
R0003,real_4w,2,2,140000.0,Stable,145000.0,145000.0,170000.0,0.0,1,0,157500.0,12500.0,145000.0,170000.0,-25000.0,-0.14705882352941177,Down,0,1,0,0.9206349206349206,0.07936507936507936,0.07936507936507936,157500.0,-0.07936507936507936,20,1,2,2.5649493574615367,3,2,6,130000.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
R0003,real_4w,3,3,135000.0,Stable,140000.0,140000.0,145000.0,170000.0,1,1,151666.66666666666,13123.346456686351,140000.0,170000.0,-5000.0,-0.034482758620689655,Stable,0,0,1,0.9230769230769231,0.08652755905507485,0.08652755905507485,145000.0,-0.034482758620689655,20,1,2,2.5649493574615367,3,2,6,130000.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
R0004,real_4w,1,1,320000.0,Down,375000.0,375000.0,0.0,0.0,0,0,375000.0,0.0,375000.0,375000.0,0.0,0.0,Stable,0,0,1,1.0,0.0,0.0,375000.0,0.0,21,0,3,4.110873864173311,5,3,15,175000.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
R0004,real_4w,2,2,280000.0,Down,320000.0,320000.0,375000.0,0.0,1,0,347500.0,27500.0,320000.0,375000.0,-55000.0,-0.14666666666666667,Down,0,1,0,0.920863309352518,0.07913669064748201,0.07913669064748201,347500.0,-0.07913669064748201,21,0,3,4.110873864173311,5,3,15,175000.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0004,real_4w,3,3,355000.0,Up,280000.0,280000.0,320000.0,375000.0,1,1,325000.0,38944.40481849308,280000.0,375000.0,-40000.0,-0.125,Down,0,1,0,0.8615384615384616,0.11982893790305563,0.11982893790305563,320000.0,-0.125,21,0,3,4.110873864173311,5,3,15,175000.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0005,real_4w,1,1,110000.0,Down,135000.0,135000.0,0.0,0.0,0,0,135000.0,0.0,135000.0,135000.0,0.0,0.0,Stable,0,0,1,1.0,0.0,0.0,135000.0,0.0,28,0,3,1.6094379124341003,4,9,36,175000.0,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
R0005,real_4w,2,2,130000.0,Up,110000.0,110000.0,135000.0,0.0,1,0,122500.0,12500.0,110000.0,135000.0,-25000.0,-0.18518518518518517,Down,0,1,0,0.8979591836734694,0.10204081632653061,0.10204081632653061,122500.0,-0.10204081632653061,28,0,3,1.6094379124341003,4,9,36,175000.0,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
R0005,real_4w,3,3,150000.0,Up,130000.0,130000.0,110000.0,135000.0,1,1,125000.0,10801.234497346433,110000.0,135000.0,20000.0,0.18181818181818182,Up,1,0,0,1.04,0.08640987597877146,0.08640987597877146,130000.0,0.0,28,0,3,1.6094379124341003,4,9,36,175000.0,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2
R0006,real_4w,1,1,0.0,Down,295000.0,295000.0,0.0,0.0,0,0,295000.0,0.0,295000.0,295000.0,0.0,0.0,Stable,0,0,1,1.0,0.0,0.0,295000.0,0.0,25,6,3,1.791759469228055,3,4,12,175000.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
R0006,real_4w,2,2,350000.0,Up,0.0,0.0,295000.0,0.0,1,0,147500.0,147500.0,0.0,295000.0,-295000.0,-1.0,Down,0,1,0,0.0,1.0,1.0,147500.0,-1.0,25,6,3,1.791759469228055,3,4,12,175000.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
R0006,real_4w,3,3,375000.0,Stable,350000.0,350000.0,0.0,295000.0,1,1,215000.0,153677.15076310682,0.0,350000.0,350000.0,0.0,Up,1,0,0,1.627906976744186,0.7147774454097992,0.7147774454097992,295000.0,0.1864406779661017,25,6,3,1.791759469228055,3,4,12,175000.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
R0007,real_4w,1,1,755000.0,Up,665000.0,665000.0,0.0,0.0,0,0,665000.0,0.0,665000.0,665000.0,0.0,0.0,Stable,0,0,1,1.0,0.0,0.0,665000.0,0.0,44,6,1,3.4339872044851463,6,7,42,150000.0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
R0007,real_4w,2,2,510000.0,Down,755000.0,755000.0,665000.0,0.0,1,0,710000.0,45000.0,665000.0,755000.0,90000.0,0.13533834586466165,Up,1,0,0,1.0633802816901408,0.06338028169014084,0.06338028169014084,710000.0,0.06338028169014084,44,6,1,3.4339872044851463,6,7,42,150000.0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2
R0007,real_4w,3,3,650000.0,Up,510000.0,510000.0,755000.0,665000.0,1,1,643333.3333333334,101187.39491107025,510000.0,755000.0,-245000.0,-0.32450331125827814,Down,0,1,0,0.7927461139896372,0.15728610607938381,0.15728610607938381,665000.0,-0.23308270676691728,44,6,1,3.4339872044851463,6,7,42,150000.0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
