38 Provinsi,,,,,,,,,,,,
,Rata-Rata Pendapatan Bersih Sebulan Pekerja Bebas Menurut Provinsi dan Lapangan Pekerjaan Utama (Ribu Rupiah),,,,,,,,,,,
,Pertanian,,,Industri,,,Jasa,,,Jumlah,,
,2025,,,2025,,,2025,,,2025,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
ACEH,1749.7,1464.5,-,2124,2019.6,-,1815.1,1835.3,-,1830.7,1699.7,-
SUMATERA UTARA,1646,1738.8,-,1919.1,2168.6,-,1843.5,1803.4,-,1780.6,1824.7,-
SUMATERA BARAT,1581.3,1536,-,2257.6,2065.4,-,1924.8,1853,-,1796.1,1708.9,-
RIAU,2101.6,2091.8,-,2587.9,2519.6,-,1828.3,2219.3,-,2120.5,2183.7,-
JAMBI,1742.6,1901.2,-,2583.7,2809.9,-,2244,2198.9,-,2021.6,2102,-
SUMATERA SELATAN,1822.3,1681.7,-,2540.7,2093.2,-,1846.4,1748.5,-,1970,1798.2,-
BENGKULU,1796.1,1546.3,-,1953.8,2122,-,1852.5,1951.5,-,1832.2,1715.9,-
LAMPUNG,1374.9,1462.7,-,2029.8,2099.8,-,1701.4,1769,-,1604.4,1697.6,-
KEP. BANGKA BELITUNG,2127.9,2220.2,-,1934.2,2259.6,-,2355.9,2010,-,2117.8,2189.1,-
KEP. RIAU,1945.4,2174.2,-,2620.3,3070,-,1325.1,2046.3,-,2076.8,2742.4,-
DKI JAKARTA,-,-,-,2875.1,3165.2,-,2496.8,3140.1,-,2618.6,3133.5,-
JAWA BARAT,1243.1,1226.6,-,2252.1,1868.5,-,2005.7,1755.2,-,1808.6,1592.7,-
JAWA TENGAH,1175.2,1196.1,-,1895.6,1871.7,-,1849,1659.1,-,1637.4,1560,-
DI YOGYAKARTA,848.3,1193.2,-,1712.4,1831,-,1622.8,1545.5,-,1357.2,1553.1,-
JAWA TIMUR,1128.1,1232.6,-,2089.8,1996.3,-,1574.7,1680.1,-,1527.5,1498,-
BANTEN,1428.2,1126,-,2495.5,2535.7,-,2407.5,2268.7,-,2159.5,1974,-
BALI,1510.4,1961.7,-,2438.2,2498.5,-,2244.2,2318.2,-,2049.9,2298.9,-
NUSA TENGGARA BARAT,876,732.1,-,1960.5,1558.7,-,1422.9,1577.1,-,1443.5,1032.6,-
NUSA TENGGARA TIMUR,965.8,705.6,-,1874.7,1469.6,-,1537.7,1679.7,-,1150.1,1169.6,-
KALIMANTAN BARAT,1513.8,1775.3,-,2937.8,2511.4,-,2058.5,1820,-,1913.1,2001.1,-
KALIMANTAN TENGAH,2051.3,2132.8,-,3218.9,3043.3,-,2266.5,2314.9,-,2462.9,2504.4,-
KALIMANTAN SELATAN,2097.5,1738.1,-,2268.9,2280.6,-,2016,1897.8,-,2106.4,1920,-
KALIMANTAN TIMUR,2155.9,1966.2,-,3363.7,3420.3,-,3155.4,2452.5,-,2984.8,2645,-
KALIMANTAN UTARA,1653.1,1393.4,-,2276,2735,-,2439,2932.9,-,1821.9,1807.8,-
SULAWESI UTARA,1761.5,1898.5,-,2319.7,2605.7,-,2058.8,2234.8,-,1986.1,2173.7,-
SULAWESI TENGAH,1811.2,1393.8,-,2141.4,1918.4,-,1507.1,2019.6,-,1835.4,1669.5,-
SULAWESI SELATAN,1014.6,1081.9,-,1976.1,2067.4,-,1795.2,2229.2,-,1530.7,1736.1,-
SULAWESI TENGGARA,1635,1646.4,-,2636,2238,-,2438.6,1963.1,-,2147.5,2037.4,-
GORONTALO,1286,1268.5,-,2034.7,1955.8,-,1315.6,1505.2,-,1483.7,1499.6,-
SULAWESI BARAT,1437.9,1406,-,2023,1670.9,-,-,2079.2,-,1536.8,1595.3,-
MALUKU,1402.4,1790.8,-,2906.5,2488.5,-,1686.8,1995.4,-,1826.2,2103,-
MALUKU UTARA,1246.9,1532.9,-,2683.5,2092.3,-,2461.5,3039.8,-,2344.1,2158.8,-
PAPUA BARAT,-,2041.4,-,-,3010.8,-,3000.3,2561,-,3024.1,2643.2,-
PAPUA BARAT DAYA,-,2016.7,-,-,3057.1,-,-,2922.8,-,-,2950.4,-
PAPUA,3928.6,2581.1,-,3066.4,2426.3,-,1488,3344.2,-,3169.5,2966.1,-
PAPUA SELATAN,3259.4,1617.1,-,-,3089,-,2980.2,2091.2,-,2939.2,2263.6,-
PAPUA TENGAH,2768.3,1362.9,-,5726.6,3778.4,-,-,4199.6,-,4751.4,2767.1,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,3184.4,-
INDONESIA,1382.7,1369.4,-,2176.9,2048,-,1907.2,1866.2,-,1766.6,1687.4,-
