Provinsi,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Aceh,1647207,1873460,1938062,1801679
Sumatera Utara,1681527,1839497,2149730,1922532
Sumatera Barat,1471349,1877345,2048174,1766739
Riau,2283860,2160239,2464143,2336742
Jambi,2358708,2606164,2638021,2493546
Sumatera Selatan,2055631,2016508,2137495,2084544
Bengkulu,1904612,2073666,2076902,1992645
Lampung,1727653,1948847,1944312,1852068
Kepulauan Bangka Belitung,2417908,2376027,2387851,2393811
Kepulauan Riau,2088502,3371779,3458400,3212719
DKI Jakarta,2791644,4453432,4290447,4301411
Jawa Barat,1315346,1860020,2073188,1870907
Jawa Tengah,1297270,1659946,1683852,1567530
DI Yogyakarta,766605,1286222,1853594,1511052
Jawa Timur,1313121,1786205,1843822,1631768
Banten,1288519,2214359,2507255,2238668
Bali,1690869,2142621,3047084,2462404
Nusa Tenggara Barat,1094254,1534422,1870598,1484859
Nusa Tenggara Timur,1133451,1126535,1659466,1323068
Kalimantan Barat,1856112,2389631,2417990,2147558
Kalimantan Tengah,2122702,3322294,2615998,2592585
Kalimantan Selatan,1701483,2091385,2283361,2058773
Kalimantan Timur,2558624,3286948,3136926,3026671
Kalimantan Utara,2128174,3026464,2676771,2494309
Sulawesi Utara,1903845,2396456,2372046,2231173
Sulawesi Tengah,1795738,2199996,2226174,2030680
Sulawesi Selatan,2176569,2586277,2113452,2217590
Sulawesi Tenggara,2173992,2021665,2149051,2130190
Gorontalo,1631628,2184537,1732639,1802598
Sulawesi Barat,1548527,1421076,2283977,1771401
Maluku,1233511,2063231,1945044,1709843
Maluku Utara,1475112,2549351,2665470,2261865
Papua Barat,1644440,3003450,2512342,2213464
Papua Barat Daya,2003188,2352684,2845889,2557838
Papua,1770982,2492046,2970698,2529336
Papua Selatan,1667985,4716199 (a),3588561,2639495
Papua Tengah,1765072,4226996,3614986,2432381
Papua Pegunungan,1491118,NA,5048751,1810879
Indonesia,1559364,1958548,2190266,1940844
,,,,
Catatan,,,,
"1 Mencakup rata-rata pendapatan bersih dari penduduk bekerja berstatus berusaha sendiri, pekerja bebas di sektor pertanian, dan nonpertanian/Includes the average net income of the self-employed working population, casual agricultural worker, and casual nonagricultural worker",,,,
"2 Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/Agriculture: Agriculture, Forestry, Hunting, and Fisherie Industri: Pertambangan dan Penggalian; Industri; Listrik, Gas, dan Air Minum; Konstruksi/Manufacture: Mining; Manufacturing Industry; Electricity, Gas, and Water; and Construction Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi; Transportasi, Pergudangan, dan Komunikasi; Lembaga Keuangan; Real Estat, Usaha Persewaan, dan Jasa Perusahaan; Jasa Kemasyarakatan, Sosial dan Perorangan/Services: Wholesale Trade, Retail Trade, Restaurants, and",,,,
"Hotels; Transportation, Warehousing, and Communication; Financing; Real Estate, Business Services, and Public Service",,,,
