provinsi,pertanian_februari,pertanian_agustus,industri_februari,industri_agustus,jasa_februari,jasa_agustus,jumlah_februari,jumlah_agustus
ACEH,1236200,1631700,1806200,2394200,1289800,1366300,1433600,1884000
SUMATERA UTARA,1376600,1719700,2019100,2214000,1657000,1601000,1663300,1848100
SUMATERA BARAT,1355100,1543500,2065300,2004000,1565600,1335100,1600600,1647900
RIAU,1909600,2037500,2100400,2601300,1880100,1751500,1949000,2119800
JAMBI,1651600,1773700,2376100,2539000,1837600,1983400,1870900,1973900
SUMATERA SELATAN,1252900,1494000,1789800,2268600,1323400,1627500,1418700,1726800
BENGKULU,1173500,1468900,2118000,2177200,1692700,1669100,1445300,1694200
LAMPUNG,1518900,1416100,1881100,2029700,1624200,1247700,1645600,1575800
KEP. BANGKA BELITUNG,1982500,1795000,2443700,2126700,1876200,1936100,2111400,1913700
KEP. RIAU,1513300,1778600,3255100,2284800,1624200,2009600,2469300,2087200
DKI JAKARTA,,,2774300,3213000,1842600,2338600,2054600,2663600
JAWA BARAT,1131700,1160700,2137300,1954000,1378600,1283300,1570900,1520500
JAWA TENGAH,1038800,1186100,2068300,2149900,1185800,1421100,1512200,1684200
DI YOGYAKARTA,795800,1234100,1472000,1863900,928000,952600,1135500,1565400
JAWA TIMUR,1098000,1214100,1937000,2107700,1404700,1404200,1413400,1535600
BANTEN,809900,1081800,2608100,2361800,1666500,1668900,1699600,1710600
BALI,1631300,1693500,2354500,2511300,1801500,1857200,2105400,2090400
NUSA TENGGARA BARAT,737300,916700,1277900,1530500,1120300,1302400,1010800,1183600
NUSA TENGGARA TIMUR,689800,733100,1071600,1519600,744600,1334800,773700,1101500
KALIMANTAN BARAT,1754800,1664300,2341200,2304600,1217500,1724200,1953700,1913500
KALIMANTAN TENGAH,1923700,2111900,2597700,2887800,2212200,1696700,2207300,2361400
KALIMANTAN SELATAN,1083900,1306400,1963300,2211600,1130300,1679800,1404300,1701900
KALIMANTAN TIMUR,2176000,2238500,3060500,3365400,2032300,2049300,2512300,2773200
KALIMANTAN UTARA,2486800,1316700,2690600,2199500,,1779100,2450700,1672400
SULAWESI UTARA,1919500,2131000,2667800,2514300,1491400,1983300,2139300,2233200
SULAWESI TENGAH,1680500,1444400,1912500,1882800,1353500,1571100,1740500,1587300
SULAWESI SELATAN,1395500,1097100,2203500,2200100,1649600,2527900,1840300,1714200
SULAWESI TENGGARA,1826200,1393400,1684100,2214900,1362700,1648200,1687800,1795000
GORONTALO,1266400,1251000,1604800,1605500,854700,1190900,1348700,1343500
SULAWESI BARAT,1484700,1451600,1966800,1868000,846400,1372700,1536100,1586600
MALUKU,1131400,1629900,2504700,2384100,1297800,1555500,1615000,1900300
MALUKU UTARA,1186200,1818600,2359000,1963200,1839100,1857700,2015400,1913300
PAPUA BARAT,,1834700,2569500,3058600,,2470600,2417300,2657800
PAPUA BARAT DAYA,,2347000,,2989500,,2238600,,2759700
PAPUA,,2465800,3079700,3217200,3478300,2269400,2711400,2904700
PAPUA SELATAN,,2493300,,2373100,,1518500,1569400,2180100
PAPUA TENGAH,2468400,2307300,3883700,3864000,3096800,4427200,3449300,3615300
PAPUA PEGUNUNGAN,,1317400,,,,4948100,,3170100
INDONESIA,1214900,1318800,2085100,2120000,1452100,1482400,1575900,1652500
