
City,Hours_per_Day,Days_per_Month,Platform,Orders_Per_Day,PeakTime,Monthly_Salary (₹)
Bengaluru,6,26,DoorDash,29,No,39150.0
Indore,7,21,Deliveroo,17,No,14417.31
Lucknow,12,22,Deliveroo,27,Yes,43350.58
Chennai,8,29,Blinkit,23,No,35915.38
Indore,12,30,Dunzo,30,No,62307.69
Singapore,12,25,Dunzo,30,Yes,226081.73
Jaipur,7,25,Dunzo,24,No,25240.38
Jaipur,12,24,Grab,18,No,31153.85
Pune,12,26,DoorDash,11,Yes,28132.5
Hyderabad,7,29,Zepto,30,No,43918.27
New York,9,21,Grab,20,No,218076.92
Ahmedabad,11,28,Grab,13,No,25987.5
London,6,23,Zepto,30,No,159230.77
Kochi,9,22,Blinkit,10,No,10471.15
Jaipur,6,21,Zomato,19,No,14387.02
Indore,11,27,Grab,17,No,29128.85
Delhi NCR,7,28,Dunzo,12,Yes,21145.38
Kochi,12,29,Zomato,14,No,25765.38
Hyderabad,6,21,Dunzo,10,Yes,9995.19
Dubai,11,22,Zomato,23,No,86968.75
Pune,8,27,Swiggy,17,No,27363.46
Bengaluru,11,25,Talabat,16,No,38076.92
Kochi,12,27,Deliveroo,27,Yes,50889.81
Kolkata,8,29,Deliveroo,12,Yes,19140.0
Kolkata,9,24,Blinkit,15,No,20250.0
London,7,28,Zepto,11,Yes,91215.38
Hyderabad,11,30,Dunzo,11,No,26177.88
Pune,10,28,DoorDash,23,Yes,52789.42
London,7,28,Dunzo,14,No,105538.46
Indore,7,27,DoorDash,29,Yes,34783.27
Indore,9,27,Dunzo,24,No,33646.15
Kolkata,8,24,Talabat,16,Yes,21120.0
New York,6,29,Zepto,21,Yes,231888.46
Bengaluru,12,28,Swiggy,15,Yes,47976.92
Singapore,6,28,Deliveroo,25,No,95913.46
Chennai,11,24,Talabat,17,Yes,33228.46
New York,7,23,Grab,12,Yes,122607.69
New York,10,25,Zepto,13,No,187500.0
Delhi NCR,12,24,Grab,25,Yes,64730.77
Mumbai,12,25,Swiggy,26,Yes,72187.5
Hyderabad,11,27,Dunzo,19,Yes,44764.18
Indore,8,20,Deliveroo,22,No,20307.69
Kochi,12,29,Dunzo,13,Yes,26317.5
Lucknow,10,24,Grab,24,Yes,35030.77
Delhi NCR,11,24,Talabat,27,Yes,64083.46
Hyderabad,10,25,DoorDash,10,No,18028.85
Jaipur,9,28,DoorDash,15,No,22716.35
Delhi NCR,10,21,DoorDash,21,No,36043.27
London,9,25,Zepto,25,No,216346.15
Pune,12,30,Dunzo,20,Yes,59019.23
New York,9,30,Talabat,17,Yes,291288.46
Ahmedabad,10,29,Deliveroo,21,No,39526.44
New York,11,23,Swiggy,16,No,233538.46
Bengaluru,9,29,Zepto,27,No,60983.65
Jaipur,9,28,DoorDash,24,Yes,39980.77
Hyderabad,9,20,Blinkit,25,No,32451.92
London,9,22,Swiggy,30,Yes,251307.69
Bengaluru,6,29,Dunzo,11,No,16563.46
Mumbai,9,22,Dunzo,10,No,16658.65
Ahmedabad,10,24,Dunzo,16,No,24923.08
Indore,8,25,Dunzo,11,Yes,13961.54
Lucknow,10,23,Grab,15,No,19074.52
Bengaluru,8,30,Swiggy,29,No,60230.77
Mumbai,6,20,Blinkit,28,Yes,31096.15
Hyderabad,11,20,Zepto,30,Yes,52355.77
Ahmedabad,6,27,DoorDash,12,No,12617.31
Hyderabad,6,20,Blinkit,19,No,16442.31
Delhi NCR,11,24,Zomato,27,Yes,64083.46
Lucknow,12,27,Grab,27,Yes,53202.98
Dubai,12,22,Blinkit,23,No,94875.0
Mumbai,10,22,Zepto,16,Yes,32576.92
London,8,23,Deliveroo,24,No,169846.15
Singapore,6,20,Grab,28,No,76730.77
London,11,26,Grab,13,No,143000.0
Dubai,11,25,Dunzo,19,Yes,89804.69
Kolkata,12,21,Dunzo,18,No,28350.0
Bengaluru,7,28,DoorDash,11,No,18657.69
Hyderabad,6,27,Blinkit,17,Yes,21846.63
Kochi,9,23,Grab,16,Yes,19266.92
Pune,12,23,Talabat,28,Yes,63347.31
Jaipur,12,26,Talabat,30,No,56250.0
Chennai,6,23,Grab,26,Yes,26565.0
Chennai,10,27,Talabat,10,No,18173.08
Chennai,8,24,Grab,20,No,25846.15
Singapore,11,20,Talabat,23,Yes,127108.17
Chennai,10,29,Zomato,30,No,58557.69
Singapore,9,26,Dunzo,28,No,149625.0
Indore,7,23,Deliveroo,30,No,27865.38
Kolkata,7,22,Blinkit,13,Yes,13763.75
London,9,26,Swiggy,12,Yes,118800.0
Jaipur,9,27,Swiggy,16,No,23365.38
Dubai,10,28,Talabat,19,Yes,91437.5
Dubai,10,20,Talabat,12,Yes,41250.0
New York,7,29,Dunzo,16,No,187384.62
Chennai,6,30,Blinkit,23,Yes,30651.92
Bengaluru,7,30,Grab,16,No,29076.92
Singapore,8,28,Blinkit,19,No,97192.31
Ahmedabad,10,26,DoorDash,19,Yes,35268.75
Indore,10,25,Swiggy,22,No,31730.77
Jaipur,7,24,Blinkit,28,Yes,31096.15
Dubai,9,21,Zomato,18,No,53156.25
Indore,8,23,Blinkit,10,Yes,11676.92
Jaipur,7,22,Talabat,15,No,13882.21
Delhi NCR,8,23,Zomato,22,No,33084.62
Pune,7,25,Zomato,17,Yes,24386.42
London,10,21,Swiggy,21,Yes,186576.92
Delhi NCR,8,24,Deliveroo,19,No,29815.38
Hyderabad,7,24,Zepto,30,No,36346.15
Kolkata,10,26,Grab,19,Yes,33962.5
Kochi,10,21,Grab,21,No,23322.12
London,10,21,Zepto,13,No,105000.0
Indore,9,22,Deliveroo,14,Yes,17591.54
Lucknow,11,29,Zepto,27,Yes,52381.95
Hyderabad,11,27,Zepto,29,Yes,68324.28
Delhi NCR,10,22,Dunzo,27,Yes,53402.88
Jaipur,7,27,Grab,17,No,19308.89
Dubai,6,29,DoorDash,17,Yes,50840.63
Kochi,10,29,Deliveroo,24,No,36807.69
Hyderabad,7,29,DoorDash,26,Yes,41868.75
Kolkata,11,20,Deliveroo,24,Yes,36300.0
Jaipur,12,23,Dunzo,22,Yes,40139.42
Hyderabad,8,20,Zomato,17,No,19615.38
Chennai,7,22,Zepto,19,Yes,21663.65
London,8,21,Zomato,30,Yes,213230.77
Singapore,7,29,Swiggy,25,No,115895.43
Hyderabad,6,25,Zomato,22,Yes,26177.88
Chennai,6,21,Swiggy,19,No,16113.46
Ahmedabad,6,23,Blinkit,17,Yes,16749.09
Bengaluru,11,29,Zepto,13,Yes,39476.25
Indore,12,25,Swiggy,14,Yes,26653.85
Mumbai,10,29,Grab,15,No,36598.56
Pune,7,25,Dunzo,17,No,22169.47
Indore,6,22,Grab,22,Yes,18429.23
Chennai,8,24,Zepto,27,No,34892.31
Singapore,7,28,Dunzo,11,Yes,54159.13
Pune,8,20,Dunzo,16,Yes,20984.62
Mumbai,10,24,Dunzo,22,No,44423.08
Bengaluru,7,25,Dunzo,27,No,40889.42
Mumbai,12,29,Zomato,20,Yes,64413.46
Lucknow,9,21,DoorDash,27,Yes,31035.07
New York,12,29,Deliveroo,26,Yes,574200.0
Hyderabad,9,30,Grab,29,No,56466.35
Chennai,7,30,Zepto,12,No,16961.54
Chennai,8,25,Blinkit,24,No,32307.69
Hyderabad,11,25,Zomato,21,No,41646.63
Hyderabad,12,22,Zepto,23,No,43788.46
Kochi,12,28,Blinkit,26,No,46200.0
Kochi,8,30,Swiggy,26,Yes,36300.0
London,12,24,Zepto,12,Yes,146215.38
Pune,10,20,DoorDash,21,Yes,34427.88
Ahmedabad,12,28,Zepto,17,Yes,40780.38
Lucknow,12,24,Swiggy,22,No,35030.77
Delhi NCR,8,23,Talabat,22,Yes,36393.08
Jaipur,7,24,Swiggy,19,Yes,21100.96
Hyderabad,9,28,Deliveroo,26,Yes,51975.0
Bengaluru,8,21,DoorDash,24,No,34892.31
London,7,27,Zepto,28,Yes,223892.31
Mumbai,9,22,Blinkit,13,No,21656.25
Chennai,6,30,Talabat,30,No,36346.15
Lucknow,11,25,Blinkit,17,No,25847.36
Singapore,10,20,Grab,20,Yes,100480.77
Bengaluru,9,24,Deliveroo,20,Yes,41123.08
Jaipur,6,21,Grab,24,Yes,19990.38
Bengaluru,9,28,Zepto,12,Yes,28786.15
Indore,6,28,Grab,21,No,20353.85
Singapore,7,30,Deliveroo,11,Yes,58027.64
New York,10,22,Blinkit,29,No,368076.92
Jaipur,7,22,DoorDash,20,No,18509.62
Mumbai,6,29,Grab,27,Yes,43479.09
Mumbai,7,21,Blinkit,17,No,21025.24
Jaipur,9,30,Zomato,16,No,25961.54
New York,6,22,Talabat,29,No,220846.15
Pune,10,21,Dunzo,16,No,25038.46
Indore,12,26,Talabat,23,No,41400.0
Kochi,11,27,Grab,28,Yes,48376.73
Kochi,9,20,Zomato,19,Yes,19895.19
Delhi NCR,10,23,Zomato,15,No,28197.12
Kolkata,11,29,Zepto,28,No,55825.0
Singapore,10,22,Swiggy,27,Yes,149213.94
Kolkata,6,23,Grab,28,Yes,26565.0
Lucknow,11,21,Zepto,29,No,37037.74
Jaipur,9,21,Talabat,30,No,34074.52
Dubai,6,29,Grab,26,No,70687.5
Jaipur,8,23,Grab,18,Yes,21894.23
Pune,11,29,Zomato,24,Yes,62757.12
Jaipur,10,21,Grab,12,Yes,16658.65
Bengaluru,12,22,Swiggy,16,Yes,40209.23
Kochi,6,27,Zomato,24,Yes,22617.69
Delhi NCR,9,29,Deliveroo,15,Yes,35197.36
Jaipur,10,21,Zomato,18,No,22716.35
Delhi NCR,8,30,Zepto,20,Yes,43153.85
Kolkata,10,27,Zomato,13,Yes,24131.25
London,11,25,Talabat,10,No,105769.23
Kolkata,12,27,DoorDash,27,Yes,60142.5
New York,8,22,DoorDash,13,No,132000.0
Kochi,9,26,Blinkit,18,Yes,24502.5
Jaipur,8,23,Talabat,20,No,22115.38
