Timestamp,"Apakah Anda bersedia mengisi survei ini?

Cuman sedikit kok pertanyaanya!","Berapa usia Anda? (tulis angka, contoh: 22)",Domisili Anda saat ini,"Pekerjaan utama Anda saat ini? 

Kalau punya lebih dari satu, pilih yang PALING UTAMA.",Biasanya Anda mendapatkan pekerjaan/pesanan dari mana? Pilih yang sesuai.,"Apakah pekerjaan ini menjadi sumber penghasilan utama Anda?

0 — Tidak, hanya tambahan 
1 — Kadang utama, kadang tambahan
2 — Ya, penghasilan utama"," Sudah berapa lama Anda menjalankan pekerjaan ini? (tulis dalam bulan, contoh: 8)",Berapa hari dalam seminggu ada bekerja?,"Berapa jam Anda bekerja dalam sehari? (tulis angka, contoh: 6)","Berapa penghasilan Anda minggu lalu? (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Berapa penghasilan Anda dua minggu lalu?  (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Berapa penghasilan Anda tiga minggu lalu?  (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Berapa penghasilan Anda empat minggu lalu?  (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Dalam sebulan, di minggu mana penghasilan Anda biasanya paling tinggi?

1 — Minggu pertama 
2 — Minggu kedua 
3 — Minggu ketiga 
4 — Minggu keempat 
0 — Tidak ada pola, tiap bulan beda",Kapan biasanya penghasilan Anda lebih ramai? (pilih semua yang sesuai), Apa yang paling sering membuat penghasilan Anda naik atau turun? (pilih maksimal 3),"Kalau ada aplikasi yang bisa memperkirakan penghasilan Anda beberapa minggu ke depan, apakah itu membantu?","Fitur apa yang paling Anda butuhkan?

Pilih maksimal 3.","Ada cerita atau masukan tentang penghasilan tidak tetap yang mau Anda bagikan?

Boleh dikosongkan — tapi jawaban Anda sangat berarti untuk kami 🙏", Kontak Hadiah GoPay  
5/10/2026 17:53:29,Ya,24,Sumatera,Freelance desain / editing / ilustrasi,WhatsApp / kenalan / pelanggan langsung,1,22,6,3,480000,480000,385000,305000,2,"Akhir bulan / tanggal gajian, Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Jam saya bekerja",2,"Saran menabung, Tips mengatur uang buat pekerja seperti saya, Pengingat kalau penghasilan sedang turun",Susah ngatur pengeluaran kalau pendapatan ga menentu.,
5/10/2026 16:12:05,Ya,28,Jawa Tengah lainnya,Jualan online / reseller / toko online,"Shopee / Tokopedia / Lazada / marketplace, Instagram / TikTok / YouTube",1,19,7,5,1165000,1215000,735000,1320000,4,"Saat ada promo dari aplikasi, Ramadan / menjelang Lebaran, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",3,Perkiraan penghasilan minggu depan,sering kali gak bisa bedain mana kebutuhan mana keinginan karena income ga pasti,
5/10/2026 19:48:33,Ya,31,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,0,20,7,9,250000,520000,470000,450000,3,"Awal bulan, Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit, Akhir pekan atau hari libur",3,"Saran menabung, Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan","Bulan kemarin lumayan, tapi bulan ini sepi banget.",
5/10/2026 09:40:43,Ya,31,Semarang,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,61,5,8,210000,330000,455000,260000,1,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Jam saya bekerja, Akhir pekan atau hari libur",3,Saran menabung,"Waktu akhir bulan lumayan ramai, tapi habis itu sepi lagi.",
5/10/2026 11:45:18,Ya,47,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Kurir / pengantar barang atau makanan,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll), WhatsApp / kenalan / pelanggan langsung",0,21,7,7,350000,225000,300000,435000,0,"Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Cuaca",2,Tips mengatur uang buat pekerja seperti saya,penghasilan tergantung cuaca dan mood pelanggan,
5/10/2026 22:53:55,Ya,41,Jawa Tengah lainnya,Kurir / pengantar barang atau makanan,"WhatsApp / kenalan / pelanggan langsung, Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,24,5,9,820000,370000,395000,140000,1,"Saat ada promo dari aplikasi, Awal bulan","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi, Jam saya bekerja",4,"Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan",,
5/10/2026 18:34:29,Ya,22,Semarang,Tutor / guru les / pengajar lepas,Ruangguru / Superprof / platform les online,0,66,4,3,335000,255000,25000,190000,4,"Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Jam saya bekerja",4,"Perkiraan penghasilan minggu depan, Ringkasan pemasukan dan pengeluaran","kalau akhir bulan biasa ramai, tapi ga selalu",
5/10/2026 14:30:30,Ya,32,Surabaya,Jualan online / reseller / toko online,WhatsApp / kenalan / pelanggan langsung,0,14,6,6,330000,695000,580000,715000,1,Awal bulan,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",2,Tips mengatur uang buat pekerja seperti saya,penghasilan tergantung cuaca dan mood pelanggan,
5/10/2026 17:14:54,Ya,37,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Ojek online / driver aplikasi,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,37,5,10,830000,455000,540000,600000,1,"Saat cuaca bagus, Akhir pekan / Sabtu-Minggu, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Promo dari platform / aplikasi",4,"Saran menabung, Tips mengatur uang buat pekerja seperti saya",,
5/10/2026 21:02:39,Ya,17,Sumatera,Jualan online / reseller / toko online,"Shopee / Tokopedia / Lazada / marketplace, WhatsApp / kenalan / pelanggan langsung",0,18,6,6,760000,260000,550000,700000,2,"Akhir bulan / tanggal gajian, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Tanggal gajian / akhir bulan",3,Saran menabung,"kalau akhir bulan biasa ramai, tapi ga selalu",
5/10/2026 17:29:16,Ya,24,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,1,34,7,6,870000,470000,365000,385000,0,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Kondisi fisik / capek / sakit",2,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran",Pengen bisa prediksi income biar bisa rencanain pengeluaran.,
5/10/2026 20:57:18,Ya,38,Yogyakarta,Ojek online / driver aplikasi,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",1,78,7,8,785000,770000,495000,790000,4,"Saat ada promo dari aplikasi, Saat cuaca bagus","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Cuaca",4,"Saran menabung, Ringkasan pemasukan dan pengeluaran","Kadang sepi banget, bisa seminggu cuma dapat 250ribu.",
5/10/2026 21:30:51,Ya,39,Sumatera,Jualan online / reseller / toko online,Shopee / Tokopedia / Lazada / marketplace,0,14,4,4,355000,50000,145000,140000,0,"Awal bulan, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi",4,"Saran menabung, Saran batas pengeluaran minggu ini",,
