respondent_id,dataset_type,target_week_index,target_date,next_week_income,next_week_direction,lag_1_income,lag_2_income,lag_3_income,lag_4_income,rolling_mean_4w,rolling_std_4w,rolling_min_4w,rolling_max_4w,rolling_range_4w,income_trend_4w_abs,income_trend_4w_pct,last_income_change_abs,last_income_change_pct,previous_direction,is_previous_week_up,is_previous_week_down,is_previous_week_stable,lag_ratio_1_to_mean,volatility_ratio,is_income_above_recent_avg,income_momentum,income_momentum_pct,rolling_cv,rolling_median_income,rolling_last_vs_median_pct,rolling_cv_4w,rolling_median_4w,trend_slope_4w,target_month,target_week_of_month,target_quarter,target_is_month_start,target_is_month_end,target_is_payday_period,target_is_weekend,target_is_ramadan_lebaran,target_is_harbolnas,target_is_christmas_year_end,target_is_new_year,seasonal_event_type,usia,gig_type,domisili_code,experience_months_log,hari_kerja_per_minggu,jam_kerja_per_hari,total_jam_seminggu,bps_jasa_weekly,pref_awal_bulan,pref_payday,pref_weekend,pref_ramadan_lebaran,pref_harbolnas,pref_promo_aplikasi,gig_jualan_online,gig_pekerja_harian,gig_freelance_desain,gig_ojek_online,gig_kurir,gig_freelance_it,gig_tutor,gig_content_creator
R0000,synthetic_52w,5,2026-01-29,516376.0,Stable,540111.0,530491.0,536897.0,545597.0,538274.0,5465.165047827924,530491.0,545597.0,15106.0,9620.0,0.018134143651824444,9620.0,0.018134143651824444,Stable,0,0,1,1.0034127600441411,0.010153128421264866,1,9620.0,0.018134143651824444,0.010153128421264866,538504.0,0.002984193246475421,0.010153128421264866,538504.0,-2286.3999999999446,1,5,1,0,1,1,0,0,0,0,0,normal,34,ojek_online,jawa_barat_lainnya,3.1354942159291497,5,9,45,518297.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R0000,synthetic_52w,6,2026-02-05,501999.0,Stable,516376.0,540111.0,530491.0,536897.0,530968.75,9109.081742277867,516376.0,540111.0,23735.0,-23735.0,-0.04394467063251813,-23735.0,-0.04394467063251813,Stable,0,0,1,0.9725167441586723,0.017155589179735847,0,-23735.0,-0.04394467063251813,0.017155589179735847,533694.0,-0.03244930615671152,0.017155589179735847,533694.0,-5194.299999999961,2,1,1,1,0,1,0,0,0,0,0,normal,34,ojek_online,jawa_barat_lainnya,3.1354942159291497,5,9,45,518297.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R0000,synthetic_52w,7,2026-02-12,491782.0,Stable,501999.0,516376.0,540111.0,530491.0,522244.25,14418.184236841336,501999.0,540111.0,38112.0,-14377.0,-0.027842115047949555,-14377.0,-0.027842115047949555,Stable,0,0,1,0.9612341351771705,0.02760812442997953,0,-14377.0,-0.027842115047949555,0.02760812442997953,523433.5,-0.040949805467170135,0.02760812442997953,523433.5,-10921.100000000044,2,2,1,0,0,0,0,0,0,0,0,normal,34,ojek_online,jawa_barat_lainnya,3.1354942159291497,5,9,45,518297.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R0000,synthetic_52w,8,2026-02-19,478495.0,Stable,491782.0,501999.0,516376.0,540111.0,512567.0,18144.415573393373,491782.0,540111.0,48329.0,-10217.0,-0.02035263018452228,-10217.0,-0.02035263018452228,Stable,0,0,1,0.9594492037138559,0.03539910991810509,0,-10217.0,-0.02035263018452228,0.03539910991810509,509187.5,-0.034182889407143736,0.03539910991810509,509187.5,-15936.40000000007,2,3,1,0,0,0,0,0,0,0,0,normal,34,ojek_online,jawa_barat_lainnya,3.1354942159291497,5,9,45,518297.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R0000,synthetic_52w,9,2026-02-26,438042.0,Stable,478495.0,491782.0,501999.0,516376.0,497163.0,13874.217545505044,478495.0,516376.0,37881.0,-13287.0,-0.02701806898178461,-13287.0,-0.02701806898178461,Stable,0,0,1,0.9624509466714136,0.02790677815023452,0,-13287.0,-0.02701806898178461,0.02790677815023452,496890.5,-0.037021235060843385,0.02790677815023452,496890.5,-12386.000000000018,2,4,1,0,1,1,0,0,0,0,0,normal,34,ojek_online,jawa_barat_lainnya,3.1354942159291497,5,9,45,518297.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R0000,synthetic_52w,10,2026-03-05,478886.0,Stable,438042.0,478495.0,491782.0,501999.0,477579.5,24300.591726334565,438042.0,501999.0,63957.0,-40453.0,-0.08454215822526881,-40453.0,-0.08454215822526881,Stable,0,0,1,0.9172127363088239,0.05088281998355157,0,-40453.0,-0.08454215822526881,0.05088281998355157,485138.5,-0.09707846316052014,0.05088281998355157,485138.5,-20515.80000000004,3,1,1,1,0,1,0,1,0,0,0,normal,34,ojek_online,jawa_barat_lainnya,3.1354942159291497,5,9,45,518297.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R0000,synthetic_52w,11,2026-03-12,502911.0,Stable,478886.0,438042.0,478495.0,491782.0,471801.25,20210.87147273714,438042.0,491782.0,53740.0,40844.0,0.09324220051958489,40844.0,0.09324220051958489,Stable,0,0,1,1.0150163866670552,0.042837681063238264,1,40844.0,0.09324220051958489,0.042837681063238264,478690.5,0.0004084058488731237,0.042837681063238264,478690.5,-7914.099999999996,3,2,1,0,0,0,0,1,0,0,0,normal,34,ojek_online,jawa_barat_lainnya,3.1354942159291497,5,9,45,518297.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R0000,synthetic_52w,12,2026-03-19,474427.0,Stable,502911.0,478886.0,438042.0,478495.0,474583.5,23299.891721851414,438042.0,502911.0,64869.0,24025.0,0.05016851609777692,24025.0,0.05016851609777692,Stable,0,0,1,1.0596891800915962,0.049095452584953785,1,24025.0,0.05016851609777692,0.049095452584953785,478690.5,0.05059741106205366,0.049095452584953785,478690.5,11409.199999999988,3,3,1,0,0,0,0,1,0,0,0,normal,34,ojek_online,jawa_barat_lainnya,3.1354942159291497,5,9,45,518297.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R0000,synthetic_52w,13,2026-03-26,476561.0,Stable,474427.0,502911.0,478886.0,438042.0,473566.5,23195.51314909847,438042.0,502911.0,64869.0,-28484.0,-0.05663825209629537,-28484.0,-0.05663825209629537,Stable,0,0,1,1.00181706265118,0.04898047718556627,1,-28484.0,-0.05663825209629537,0.04898047718556627,476656.5,-0.004677372489413236,0.04898047718556627,476656.5,13318.000000000015,3,4,1,0,1,1,0,1,0,0,0,normal,34,ojek_online,jawa_barat_lainnya,3.1354942159291497,5,9,45,518297.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R0000,synthetic_52w,14,2026-04-02,472025.0,Stable,476561.0,474427.0,502911.0,478886.0,483196.25,11491.039016881807,474427.0,502911.0,28484.0,2134.0,0.004498057656920875,2134.0,0.004498057656920875,Stable,0,0,1,0.9862680018729449,0.023781308354280082,0,2134.0,0.004498057656920875,0.023781308354280082,477723.5,-0.002433415982257519,0.023781308354280082,477723.5,-3545.9000000000215,4,1,2,1,0,1,0,1,0,0,0,normal,34,ojek_online,jawa_barat_lainnya,3.1354942159291497,5,9,45,518297.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
