Model,MAE,RMSE,MAPE (%),R2,Within20%,Within30%,Normalized_MAE,dataset,task,Accuracy,Macro_F1,Precision,Recall
Baseline Last Week,169040.4984,259523.2307,106.2051,0.2907,50.4673,61.0592,0.0916,real_4w,regression,,,,
Baseline Rolling Mean,157891.0696,237839.8658,93.6295,0.4043,48.9097,62.3053,0.0804,real_4w,regression,,,,
Ridge Regression,156869.5405,220904.496,103.0249,0.4861,43.6137,59.5016,0.0788,real_4w,regression,,,,
Random Forest,154214.1878,217494.1701,107.0063,0.5019,43.6137,59.19,0.0762,real_4w,regression,,,,
XGBoost,167536.5122,231842.8952,101.9827,0.434,37.6947,55.7632,0.0814,real_4w,regression,,,,
Baseline Majority,,,,,,,,real_4w,classification,34.89,17.24,11.63,33.33
Rule-based Momentum,,,,,,,,real_4w,classification,25.86,22.81,21.7,27.13
Random Forest,,,,,,,,real_4w,classification,51.71,49.63,49.8,50.81
XGBoost,,,,,,,,real_4w,classification,49.53,47.41,47.55,48.63
Baseline Last Week,19224.1758,28628.8959,4.7677,0.9848,98.4229,99.7858,0.0118,synthetic_52w,regression,,,,
Baseline Rolling Mean,21998.3441,33252.1146,5.4572,0.9796,97.352,99.338,0.0134,synthetic_52w,regression,,,,
Ridge,18517.9577,27566.0118,4.6942,0.986,98.2087,99.6495,0.0115,synthetic_52w,regression,,,,
Random Forest,19146.9141,28719.3308,4.7811,0.9848,98.2282,99.6301,0.0117,synthetic_52w,regression,,,,
XGBoost,18268.868,27439.1013,4.655,0.9861,97.9556,99.5327,0.0114,synthetic_52w,regression,,,,
Baseline Majority,,,,,,,,synthetic_52w,classification,88.01,31.21,29.34,33.33
Rule-based Momentum,,,,,,,,synthetic_52w,classification,81.56,38.38,38.38,38.37
Random Forest,,,,,,,,synthetic_52w,classification,88.03,34.74,46.13,35.16
XGBoost,,,,,,,,synthetic_52w,classification,87.79,35.53,44.42,35.62
