seasonal_feature,group,n,avg_income,median_income
pref_payday,0,362,500060.0828729282,465625.0
pref_payday,1,173,462896.24277456646,431250.0
pref_weekend,0,345,502836.231884058,462500.0
pref_weekend,1,190,461180.5263157895,429375.0
pref_ramadan_lebaran,0,360,493111.1111111111,464375.0
pref_ramadan_lebaran,1,175,477616.0,428750.0
pref_harbolnas,0,447,497843.51230425056,466250.0
pref_harbolnas,1,88,438258.5227272727,390625.0
pref_promo_aplikasi,0,438,471566.5525114155,430625.0
pref_promo_aplikasi,1,97,562439.6907216494,547500.0
pref_awal_bulan,0,236,500290.4661016949,466250.0
pref_awal_bulan,1,299,478375.4180602007,442500.0
