gig_type,month,avg_income,n
content_creator,1,311734.68,190
content_creator,2,311628.16,152
content_creator,3,324211.27,152
content_creator,4,305705.91,190
content_creator,5,296420.45,152
content_creator,6,315336.78,152
content_creator,7,301510.57,190
content_creator,8,306747.76,152
content_creator,9,296404.03,152
content_creator,10,304098.62,190
content_creator,11,312556.52,152
content_creator,12,300839.3,152
freelance_desain,1,490261.34,410
freelance_desain,2,486022.33,328
freelance_desain,3,496408.25,328
freelance_desain,4,485685.83,410
freelance_desain,5,482451.38,328
freelance_desain,6,479109.17,328
freelance_desain,7,465483.44,410
freelance_desain,8,473632.66,328
freelance_desain,9,476487.18,328
freelance_desain,10,476800.9,410
freelance_desain,11,477268.12,328
freelance_desain,12,489597.04,328
freelance_it,1,623404.59,240
freelance_it,2,599038.79,192
freelance_it,3,621973.68,192
freelance_it,4,609440.28,240
freelance_it,5,610359.76,192
freelance_it,6,587211.14,192
freelance_it,7,607639.14,240
freelance_it,8,592998.45,192
freelance_it,9,581766.99,192
freelance_it,10,619640.38,240
freelance_it,11,607101.24,192
freelance_it,12,612579.72,192
jualan_online,1,439453.67,485
jualan_online,2,438479.21,388
jualan_online,3,459756.39,388
jualan_online,4,447765.24,485
jualan_online,5,440639.29,388
jualan_online,6,435421.35,388
jualan_online,7,438085.64,485
jualan_online,8,442606.21,388
jualan_online,9,429003.91,388
jualan_online,10,436248.29,485
jualan_online,11,447990.93,388
jualan_online,12,455267.72,388
kurir,1,616015.49,275
kurir,2,651776.31,220
kurir,3,646639.27,220
kurir,4,637924.26,275
kurir,5,628724.95,220
kurir,6,648012.01,220
kurir,7,630766.75,275
kurir,8,640874.66,220
kurir,9,642042.95,220
kurir,10,639157.5,275
kurir,11,652180.05,220
kurir,12,637251.74,220
ojek_online,1,775160.35,385
ojek_online,2,788675.84,308
ojek_online,3,815707.35,308
ojek_online,4,792482.02,385
ojek_online,5,776117.73,308
ojek_online,6,771690.31,308
ojek_online,7,777103.91,385
ojek_online,8,796612.38,308
ojek_online,9,774918.25,308
ojek_online,10,779050.47,385
ojek_online,11,776036.42,308
ojek_online,12,768601.36,308
pekerja_harian,1,430433.06,455
pekerja_harian,2,437204.1,364
pekerja_harian,3,496374.73,364
pekerja_harian,4,449239.03,455
pekerja_harian,5,437841.62,364
pekerja_harian,6,433295.11,364
pekerja_harian,7,428702.91,455
pekerja_harian,8,438795.46,364
pekerja_harian,9,418993.45,364
pekerja_harian,10,431237.78,455
pekerja_harian,11,442828.05,364
pekerja_harian,12,449396.66,364
tutor,1,303769.88,235
tutor,2,316904.91,188
tutor,3,299257.32,188
tutor,4,291104.35,235
tutor,5,307782.07,188
tutor,6,313943.65,188
tutor,7,278101.48,235
tutor,8,300738.53,188
tutor,9,316560.76,188
tutor,10,305544.73,235
tutor,11,301569.48,188
tutor,12,281620.21,188
