month,gig_type,avg_income,n
1,content_creator,365274.97,120
1,freelance_desain,167436.95,215
1,freelance_it,305241.01,145
1,jualan_online,219112.88,375
1,kurir,760596.85,160
1,ojek_online,923123.7,185
1,pekerja_harian,391997.59,155
1,tutor,46111.16,135
2,content_creator,352146.9,96
2,freelance_desain,159911.84,172
2,freelance_it,285127.93,116
2,jualan_online,211931.41,300
2,kurir,702760.56,128
2,ojek_online,880729.37,148
2,pekerja_harian,371696.39,124
2,tutor,43343.04,108
3,content_creator,379259.97,96
3,freelance_desain,160946.9,172
3,freelance_it,287432.02,116
3,jualan_online,224058.03,300
3,kurir,754304.32,128
3,ojek_online,929696.61,148
3,pekerja_harian,377233.48,124
3,tutor,44710.34,108
4,content_creator,374433.12,120
4,freelance_desain,157780.2,215
4,freelance_it,290456.59,145
4,jualan_online,216928.54,375
4,kurir,734989.12,160
4,ojek_online,910735.85,185
4,pekerja_harian,369309.55,155
4,tutor,44038.28,135
5,content_creator,352254.65,96
5,freelance_desain,155398.57,172
5,freelance_it,290243.83,116
5,jualan_online,212376.91,300
5,kurir,707934.34,128
5,ojek_online,880335.64,148
5,pekerja_harian,370508.94,124
5,tutor,43253.65,108
6,content_creator,347835.11,96
6,freelance_desain,157709.59,172
6,freelance_it,285666.6,116
6,jualan_online,215580.95,300
6,kurir,729967.4,128
6,ojek_online,884466.29,148
6,pekerja_harian,367807.49,124
6,tutor,43178.24,108
7,content_creator,345522.51,120
7,freelance_desain,158195.61,215
7,freelance_it,285219.99,145
7,jualan_online,215010.65,375
7,kurir,716366.92,160
7,ojek_online,887657.78,185
7,pekerja_harian,368285.49,155
7,tutor,40889.2,135
8,content_creator,343546.66,96
8,freelance_desain,155300.37,172
8,freelance_it,290124.16,116
8,jualan_online,212186.19,300
8,kurir,703504.45,128
8,ojek_online,881884.63,148
8,pekerja_harian,365156.88,124
8,tutor,42031.96,108
9,content_creator,350139.26,96
9,freelance_desain,153794.67,172
9,freelance_it,281043.62,116
9,jualan_online,212515.01,300
9,kurir,709093.45,128
9,ojek_online,880757.11,148
9,pekerja_harian,364740.53,124
9,tutor,43383.32,108
10,content_creator,343792.3,120
10,freelance_desain,155189.63,215
10,freelance_it,281141.23,145
10,jualan_online,208587.7,375
10,kurir,707074.1,160
10,ojek_online,860460.33,185
10,pekerja_harian,361022.56,155
10,tutor,42923.27,135
11,content_creator,346926.36,96
11,freelance_desain,157403.71,172
11,freelance_it,289101.06,116
11,jualan_online,216646.89,300
11,kurir,711593.34,128
11,ojek_online,894205.66,148
11,pekerja_harian,363268.39,124
11,tutor,43166.68,108
12,content_creator,354436.96,96
12,freelance_desain,156239.88,172
12,freelance_it,286318.82,116
12,jualan_online,220988.42,300
12,kurir,725660.1,128
12,ojek_online,909072.78,148
12,pekerja_harian,367180.76,124
12,tutor,40849.68,108
