target_week_index,avg_next_income,median_next_income,pct_up,pct_down,n
5,521758.6,484589.0,48.97,36.26,535
6,527922.21,476168.0,42.8,41.68,535
7,511302.96,463828.0,39.81,47.48,535
8,510740.9,458830.0,43.36,42.43,535
9,500410.67,451355.0,41.5,44.49,535
10,546801.82,503696.0,50.28,35.33,535
11,525250.53,476455.0,37.01,49.16,535
12,526202.73,461193.0,45.42,40.0,535
13,533232.26,469235.0,44.67,42.43,535
14,538646.89,482205.0,44.11,42.99,535
15,519319.42,457099.0,39.07,48.79,535
16,497265.34,438512.0,38.13,48.6,535
17,504970.15,457343.0,46.36,41.31,535
18,508013.43,450228.0,44.67,43.93,535
19,517301.13,466063.0,47.29,40.56,535
20,493928.6,444934.0,40.0,47.1,535
21,499052.93,440594.0,44.67,40.19,535
22,519732.68,470469.0,51.03,38.32,535
23,514033.34,473502.0,42.24,43.93,535
24,502497.83,451510.0,40.19,46.54,535
25,503657.34,436196.0,44.11,42.24,535
26,505514.49,455204.0,45.98,40.19,535
27,515394.35,463728.0,45.61,41.12,535
28,495650.29,443630.0,38.69,46.92,535
29,489065.24,430356.0,38.5,47.1,535
30,492096.64,445893.0,45.61,41.5,535
31,511531.2,457887.0,50.28,38.32,535
32,513052.99,447242.0,44.49,42.62,535
33,494070.93,443747.0,39.63,48.97,535
34,508193.81,456944.0,45.23,40.19,535
35,522389.79,462732.0,48.04,39.63,535
36,509176.16,457398.0,40.37,46.92,535
37,492860.62,436576.0,39.44,45.05,535
38,492488.99,441633.0,42.62,44.49,535
39,508175.73,456288.0,49.16,38.32,535
40,510361.85,468342.0,43.74,43.93,535
41,498298.15,441977.0,41.68,44.11,535
42,510592.4,458476.0,45.79,41.5,535
43,503753.12,443256.0,40.75,43.74,535
44,513966.75,466259.0,44.67,40.75,535
45,521870.97,463500.0,43.93,41.5,535
46,496615.43,449602.0,36.45,48.6,535
47,505992.09,455025.0,44.86,41.12,535
48,521913.57,462100.0,46.17,42.43,535
49,507483.62,451084.0,43.93,44.67,535
50,505120.74,450505.0,42.06,44.86,535
51,496536.67,450625.0,43.74,43.18,535
52,535763.97,466087.0,51.96,35.7,535
