feature,importance
lag_1_income,0.43496513
rolling_mean_4w,0.17607044
rolling_mean_2w,0.09404997
rolling_mean_8w,0.089254715
rolling_max_4w,0.026296912
gig_content_creator,0.008011773
gig_pekerja_harian,0.0072722845
rolling_median_4w,0.007262213
rolling_std_4w,0.0067985817
rolling_std_8w,0.0066597806
gig_freelance_desain,0.005928656
gig_freelance_it,0.0056348154
gig_tutor,0.0053770873
rolling_last_vs_median_pct,0.005080394
rolling_range_4w,0.0048935986
pref_harbolnas,0.004558645
target_is_month_start,0.004491074
lag_2_income,0.004415046
income_trend_4w_pct,0.0043854797
last_income_change_pct,0.0042740805
lag_ratio_1_to_mean,0.0042260187
lag_3_income,0.0041940375
trend_slope_4w,0.0041282317
income_trend_4w_abs,0.0038543232
target_week_of_month,0.0036328558
rolling_cv_4w,0.0035895272
usia,0.0035153585
rolling_min_4w,0.0035064428
target_is_payday_period,0.0035031321
jam_kerja_per_hari,0.003469957
lag_4_income,0.0034565418
income_growth_1w,0.0033262542
total_jam_seminggu,0.003318087
last_income_change_abs,0.0032229999
bps_jasa_weekly,0.0032001568
pref_natal_tahun_baru,0.0030940128
income_volatility,0.0030382336
experience_months_log,0.0030127293
hari_kerja_per_minggu,0.0030086604
pref_payday,0.002935347
pref_promo_aplikasi,0.0029131672
target_month,0.00284643
target_quarter,0.0027546112
target_is_month_end,0.0026943719
pref_awal_bulan,0.0026669868
pref_ramadan_lebaran,0.002516002
pref_weekend,0.0024482296
target_is_christmas_year_end,0.0020445993
target_is_ramadan_lebaran,0.0018696178
gig_jualan_online,0.001385809
gig_ojek_online,0.0004987333
is_previous_week_stable,0.0004478387
is_previous_week_up,0.0
is_previous_week_down,0.0
target_is_harbolnas,0.0
target_is_new_year,0.0
target_is_weekend,0.0
gig_kurir,0.0
