feature,importance
rolling_max_income,0.50331825
rolling_median_income,0.043757398
fluk_ramadan_lebaran,0.027389875
gig_ojek_online,0.020956483
ramai_awal_bulan,0.020609934
ramai_natal_tahun_baru,0.018386466
gig_pekerja_harian,0.0181028
fluk_kondisi_fisik,0.015503783
rolling_min_income,0.012399725
src_website_freelance,0.012219004
domisili_code_enc,0.012151791
gig_kurir,0.010995566
rolling_mean_income,0.010646167
gig_freelance_desain,0.010235503
lag_3_income,0.009948979
income_trend_abs,0.00987566
gig_freelance_it,0.009461556
rolling_range_income,0.0088913385
src_shopeefood,0.008570287
src_gojek,0.008367082
bps_jasa_weekly,0.008222353
src_maxim,0.008219568
fluk_cuaca,0.008206332
volatility_ratio,0.008197851
current_income,0.008146159
lag_2_income,0.008001536
target_week_of_month,0.007936989
ramai_harbolnas_flashsale_tanggal_kembar,0.0074184374
rolling_std_income,0.007307574
total_jam_seminggu,0.007038149
target_month,0.007014842
fluk_akhir_pekan_hari_libur,0.006609919
src_whatsapp_kenalan_langsung,0.0062375576
experience_months_log,0.005989687
rolling_last_vs_median_pct,0.0056894524
hari_kerja_per_minggu,0.0052577234
peak_week,0.0051239226
ramai_cuaca_bagus,0.005044098
jam_kerja_per_hari,0.0049151853
gig_type_enc,0.004739468
has_lag_2,0.0047175717
usia,0.0046235514
lag_ratio_1_to_mean,0.0045693545
fluk_jumlah_pesanan_project,0.0043573864
target_is_weekend,0.004248623
ramai_akhir_bulan_gajian,0.004147042
fluk_promo_aplikasi,0.0040595094
fluk_jam_kerja,0.0037245015
ramai_ramadan_lebaran,0.0035706456
src_grab,0.0033406324
income_trend_pct,0.003269962
status_income,0.0032483775
fluk_rating_ulasan,0.0032425253
ramai_promo_aplikasi,0.0032156694
target_is_payday_period,0.0030082539
ramai_akhir_pekan,0.0025204392
gig_jualan_online,0.002517718
src_shopee_tokopedia_tiktok_shop,0.0023824682
fluk_tanggal_gajian_akhir_bulan,0.0020352108
target_is_month_end,0.0020350595
src_instagram_tiktok_youtube,0.0015278698
has_lag_3,0.0013499971
is_previous_week_stable,0.0011831842
target_week,0.0
weeks_observed,0.0
is_previous_week_up,0.0
is_previous_week_down,0.0
previous_direction_enc,0.0
last_income_change_pct,0.0
last_income_change_abs,0.0
lag_1_income,0.0
is_income_above_recent_avg,0.0
income_momentum,0.0
income_momentum_pct,0.0
rolling_cv,0.0
target_is_new_year,0.0
target_is_christmas_year_end,0.0
target_is_month_start,0.0
target_quarter,0.0
pref_weekend,0.0
pref_ramadan_lebaran,0.0
pref_promo_aplikasi,0.0
pref_payday,0.0
pref_harbolnas,0.0
pref_awal_bulan,0.0
gig_tutor,0.0
gig_content_creator,0.0
