dataset,segment_type,segment_value,n_test,mae,rmse,mape,r2,within20,within30,normalized_mae,accuracy,macro_f1
real_4w,target_week,2,107,177813.3183,240610.9501,98.688,0.4068,34.5794,48.5981,0.087,46.729,45.503
real_4w,target_week,3,107,160535.4948,227684.9751,112.3284,0.4544,42.9907,63.5514,0.0775,49.5327,45.4668
real_4w,target_week,4,107,164260.7235,226978.6488,94.9316,0.4407,35.514,55.1402,0.0797,52.3364,50.2328
real_4w,gig_type,content_creator,24,123505.4925,157197.9544,66.3354,0.2909,33.3333,54.1667,0.0902,45.8333,46.6132
real_4w,gig_type,freelance_desain,39,146489.6703,216910.7586,85.9108,0.2507,46.1538,53.8462,0.0711,51.2821,51.5577
real_4w,gig_type,freelance_it,27,248518.2812,326317.0735,121.3837,0.1962,29.6296,55.5556,0.1073,44.4444,41.0012
real_4w,gig_type,jualan_online,57,133982.2985,211181.1897,98.9953,0.3249,42.1053,61.4035,0.0777,49.1228,49.1157
real_4w,gig_type,kurir,30,204106.3615,252931.7732,262.0293,-0.145,36.6667,50.0,0.1035,36.6667,32.0988
real_4w,gig_type,ojek_online,51,266072.8205,316706.3262,77.3507,0.1876,33.3333,52.9412,0.0768,58.8235,49.1959
real_4w,gig_type,pekerja_harian,60,126543.2839,172136.5383,93.2628,0.2677,35.0,58.3333,0.0759,45.0,43.4247
real_4w,gig_type,tutor,33,105136.5192,134440.1878,44.6138,-0.098,42.4242,54.5455,0.0694,60.6061,52.3077
real_4w,target_month,4,255,173012.2332,238037.2765,108.5235,0.4367,37.2549,55.2941,0.0828,49.0196,46.2232
real_4w,target_month,5,66,146380.3175,206168.7724,76.7114,0.4121,39.3939,57.5758,0.0761,51.5152,51.108
real_4w,target_week_of_month,1,48,155417.9456,212540.8022,49.656,0.4161,37.5,54.1667,0.0743,54.1667,51.7716
real_4w,target_week_of_month,2,64,137119.1667,183795.5893,97.3796,0.6155,40.625,64.0625,0.0709,57.8125,56.9265
real_4w,target_week_of_month,3,79,190923.9739,256793.5692,151.29,0.2824,32.9114,53.1646,0.095,43.038,37.3909
real_4w,target_week_of_month,4,107,164564.7037,235165.4672,90.7927,0.4503,41.1215,56.0748,0.077,50.4673,49.1631
real_4w,target_week_of_month,5,23,210961.5272,279511.6829,106.6928,0.4057,30.4348,43.4783,0.0991,34.7826,32.5
