usia,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari,income_utama,income_w1,income_w2,income_w3,income_w4,rolling_mean_4w,rolling_std_4w,rolling_cov_4w,income_trend_w4w1,income_growth_pct,is_payday_week,monthly_income,prev_monthly_income,total_jam_seminggu,income_per_jam_est,income_ratio_w4w1,income_w3_vs_w4,is_income_growing,experience_months_log,seasonal_enc,gig_type_content_creator,gig_type_freelancer_desain,gig_type_freelancer_it,gig_type_jualan_online,gig_type_kurir,gig_type_ojek_online,gig_type_pekerja_harian,gig_type_tutor,region_bali,region_bandung,region_jabodetabek,region_jawa_tengah,region_jawa_timur,region_kalimantan,region_papua,region_sulawesi,region_sumatera,experience_tier_junior,experience_tier_mid,experience_tier_senior
35,33,6,4,2,465031.0,813210.0,1222222.0,2646635.0,1286774.5,829595.2808702867,0.6447091396901996,2181604.0,469.13087514595804,1,5147098.0,2169886.0,24,105865.4,5.691296512928143,0.46180207629609815,1,3.5263605246161616,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
29,12,5,8,1,327727.0,466048.0,736166.0,1138813.0,667188.5,309386.1564570238,0.4637162607824083,811086.0,247.48830581551107,1,2668754.0,2314154.0,40,27775.926829268294,3.4748724552067567,0.6464321653931195,1,2.5649493574615367,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
28,19,5,8,1,530000.0,675000.0,525000.0,1370000.0,775000.0,348765.6806510641,0.4500202330981472,840000.0,158.49056603773585,0,3100000.0,3100000.0,40,33414.634146341465,2.5849007832060695,0.38321139911576707,1,2.995732273553991,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
18,4,3,7,2,567260.0,619116.0,588076.0,799416.0,643467.0,91908.55718049327,0.14283336547250017,232156.0,40.925854105701085,1,2573868.0,1335118.0,21,36337.09090909091,1.4092560567357884,0.7356310911576811,1,1.6094379124341003,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
51,36,5,9,0,710455.0,920065.0,881356.0,924138.0,859003.5,87374.62586615178,0.10171626293274914,213683.0,30.076922535558197,1,3436014.0,3436014.0,45,20089.956521739132,1.3007673944621483,0.953705016236735,1,3.6109179126442243,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32,44,3,8,2,1266918.0,806865.0,2425844.0,1232199.0,1432956.5,601183.9384325317,0.419540954964461,-34719.0,-2.740429925220101,1,5731826.0,4588715.0,24,49287.96,0.9725949330620189,1.9687096250608667,0,3.8066624897703196,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
32,62,6,8,1,1675000.0,600000.0,680000.0,510000.0,866250.0,470788.8990832303,0.5434792485809297,-1165000.0,-69.55223880597015,0,3465000.0,3465000.0,48,10408.163265306122,0.30447743016272827,1.3333307189593746,0,4.143134726391533,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
34,43,6,8,2,711905.0,1030989.0,707471.0,589224.0,759897.25,164066.95503113203,0.21590676243548984,-122681.0,-17.232776845225136,1,3039589.0,6662887.0,48,12024.979591836734,0.827671068933258,1.2006805549662694,0,3.784189633918261,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
29,43,4,11,2,612117.0,646678.0,1183615.0,729000.0,792852.5,229567.40762410068,0.28954617362510765,116883.0,19.094878920206433,1,3171410.0,2689505.0,44,16200.0,1.1909468435824466,1.623612313289008,1,3.784189633918261,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
27,54,5,5,2,489278.0,456858.0,794182.0,844460.0,646194.5,174413.73716754653,0.26990904002981536,355182.0,72.59308613916832,1,2584778.0,3123561.0,25,32479.23076923077,1.725927333893341,0.9404602462399092,1,4.007333185232471,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27,8,5,4,1,225000.0,200000.0,170000.0,210000.0,201250.0,20116.84617428885,0.09995948409584522,-15000.0,-6.666666666666667,0,805000.0,805000.0,20,10000.0,0.9333291852036213,0.8095199546668825,0,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
24,5,6,6,2,846158.0,827254.0,879304.0,1284462.0,959294.5,188657.72209149034,0.1966629873219229,438304.0,51.799309348845014,1,3837178.0,4410756.0,36,34715.18918918919,1.5179912995075393,0.6845693492144188,1,1.791759469228055,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
37,17,6,4,2,646446.0,535432.0,467415.0,485952.0,533811.25,69620.72888649974,0.13042199632641638,-160494.0,-24.827131732580913,1,2135245.0,3668193.0,24,19438.08,0.7517275198121424,0.9618522778951873,0,2.8903717578961645,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18,13,6,4,2,727306.0,570506.0,627539.0,640238.0,641397.25,56123.25188090494,0.0875015474121614,-87068.0,-11.971302312919184,1,2565589.0,2560762.0,24,25609.52,0.8802857665332521,0.9801636576341023,0,2.639057329615259,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,42,4,9,2,1047572.0,896432.0,1932616.0,1996656.0,1468319.0,499698.52625257964,0.3403201390519224,949084.0,90.59845051223209,1,5873276.0,6795362.0,36,53963.67567567567,1.905982685693503,0.9679258881219959,1,3.7612001156935624,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
30,18,5,7,1,1243270.0,1132579.0,1135216.0,840991.0,1088014.0,149448.0311797382,0.13735855529408464,-402279.0,-32.3565275442985,1,4352056.0,2526498.0,35,23360.86111111111,0.6764341804803619,1.3498535063353754,0,2.9444389791664403,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,7,3,5,1,838924.0,918721.0,1660847.0,471810.0,972575.5,431638.38288693695,0.44380964036924325,-367114.0,-43.76010222618497,1,3890302.0,3890302.0,15,29488.125,0.5623983073576303,3.520153196936909,0,2.0794415416798357,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
31,32,5,5,1,200000.0,200000.0,270000.0,240000.0,227500.0,29474.56530637899,0.12955852881924831,40000.0,20.0,0,910000.0,910000.0,25,9230.76923076923,1.1999940000299998,1.124995312519531,1,3.4965075614664802,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
