gig_type,week_number,income_amount
content_creator,1,871709.8461538461
content_creator,2,1104023.5384615385
content_creator,3,1147855.076923077
content_creator,4,1368038.8076923077
content_creator,5,1131851.7307692308
content_creator,6,1004885.8461538461
content_creator,7,1124786.7692307692
content_creator,8,1363667.7307692308
content_creator,9,1421090.7692307692
content_creator,10,1360936.5384615385
content_creator,11,1267590.0384615385
content_creator,12,1303241.5384615385
content_creator,13,757746.0769230769
content_creator,14,867560.5
content_creator,15,1230913.9615384615
content_creator,16,1121920.923076923
content_creator,17,995742.8846153846
content_creator,18,926442.2692307692
content_creator,19,896217.6153846154
content_creator,20,1012381.0769230769
content_creator,21,1023673.0769230769
content_creator,22,1098185.923076923
content_creator,23,969285.8461538461
content_creator,24,1022203.0769230769
content_creator,25,947890.1153846154
content_creator,26,813938.2692307692
content_creator,27,848691.1923076923
content_creator,28,930366.3846153846
content_creator,29,964127.1538461539
content_creator,30,936195.1923076923
content_creator,31,1032994.4615384615
content_creator,32,990620.5769230769
content_creator,33,926051.4615384615
content_creator,34,803055.4615384615
content_creator,35,1003014.9230769231
content_creator,36,982819.7307692308
content_creator,37,791627.1538461539
content_creator,38,975686.7692307692
content_creator,39,974008.0384615385
content_creator,40,978243.7307692308
content_creator,41,776581.9615384615
content_creator,42,945804.9230769231
content_creator,43,928675.9615384615
content_creator,44,1116359.1153846155
content_creator,45,952597.1153846154
content_creator,46,848114.1538461539
content_creator,47,939843.1923076923
content_creator,48,1120445.1538461538
content_creator,49,1139117.9615384615
content_creator,50,1036582.9615384615
content_creator,51,929460.8076923077
content_creator,52,1297930.0
freelancer_desain,1,1215897.0344827587
freelancer_desain,2,1277757.3793103448
freelancer_desain,3,1312553.5862068965
freelancer_desain,4,1625959.7586206896
freelancer_desain,5,1442241.3103448276
freelancer_desain,6,1285924.7931034483
freelancer_desain,7,1230214.6206896552
freelancer_desain,8,1334605.6206896552
freelancer_desain,9,1185198.5862068965
freelancer_desain,10,1098826.103448276
freelancer_desain,11,1054694.3793103448
freelancer_desain,12,1271537.551724138
freelancer_desain,13,850506.7586206896
freelancer_desain,14,810799.724137931
freelancer_desain,15,1208087.9655172413
freelancer_desain,16,1549380.9655172413
freelancer_desain,17,1314270.6206896552
freelancer_desain,18,1237599.4827586208
freelancer_desain,19,1324072.0
freelancer_desain,20,1550962.0344827587
freelancer_desain,21,1218328.2068965517
freelancer_desain,22,1100033.6206896552
freelancer_desain,23,1221892.0
freelancer_desain,24,1437094.7586206896
freelancer_desain,25,1224765.4827586208
freelancer_desain,26,1117016.2068965517
freelancer_desain,27,1338884.8620689656
freelancer_desain,28,1362317.8620689656
freelancer_desain,29,1316673.8620689656
freelancer_desain,30,1310910.8620689656
freelancer_desain,31,1255358.6206896552
freelancer_desain,32,1530096.0
freelancer_desain,33,1298630.0
freelancer_desain,34,1243828.5172413792
freelancer_desain,35,1224958.8620689656
freelancer_desain,36,1336654.9310344828
freelancer_desain,37,1300124.4827586208
freelancer_desain,38,1262319.8620689656
freelancer_desain,39,1215435.1724137932
freelancer_desain,40,1488976.7586206896
freelancer_desain,41,1357952.896551724
freelancer_desain,42,1353700.896551724
freelancer_desain,43,1242513.4827586208
freelancer_desain,44,1606744.2068965517
freelancer_desain,45,1413971.4137931035
freelancer_desain,46,1397074.9655172413
freelancer_desain,47,1348313.5862068965
freelancer_desain,48,1331848.6206896552
freelancer_desain,49,1272673.9655172413
freelancer_desain,50,1186385.3103448276
freelancer_desain,51,1166376.551724138
freelancer_desain,52,1128925.896551724
freelancer_it,1,1472787.46875
freelancer_it,2,1439292.5
freelancer_it,3,1627161.46875
freelancer_it,4,1945880.46875
freelancer_it,5,1444513.90625
freelancer_it,6,1425752.1875
freelancer_it,7,1347214.375
freelancer_it,8,1424908.78125
freelancer_it,9,1334462.5625
freelancer_it,10,1281578.84375
freelancer_it,11,1381485.84375
freelancer_it,12,1448505.40625
freelancer_it,13,962509.53125
freelancer_it,14,956671.53125
freelancer_it,15,1727331.65625
freelancer_it,16,1710971.53125
freelancer_it,17,1372086.53125
freelancer_it,18,1522208.90625
freelancer_it,19,1537637.28125
freelancer_it,20,1603204.84375
freelancer_it,21,1382113.15625
freelancer_it,22,1296819.3125
freelancer_it,23,1307598.96875
freelancer_it,24,1600096.03125
freelancer_it,25,1263989.5
freelancer_it,26,1269935.28125
freelancer_it,27,1297783.375
freelancer_it,28,1681261.5
freelancer_it,29,1425696.78125
freelancer_it,30,1513215.875
freelancer_it,31,1470865.03125
freelancer_it,32,1886955.34375
freelancer_it,33,1635324.21875
freelancer_it,34,1534909.34375
freelancer_it,35,1604651.65625
freelancer_it,36,1756931.90625
freelancer_it,37,1483825.03125
freelancer_it,38,1439599.0625
freelancer_it,39,1444662.6875
freelancer_it,40,1736428.53125
freelancer_it,41,1560225.625
freelancer_it,42,1383771.53125
freelancer_it,43,1423078.03125
freelancer_it,44,1995253.875
freelancer_it,45,1603314.15625
freelancer_it,46,1702380.59375
freelancer_it,47,1512348.0
freelancer_it,48,1519451.125
freelancer_it,49,1345585.96875
freelancer_it,50,1139941.625
freelancer_it,51,1243946.34375
freelancer_it,52,1538211.75
jualan_online,1,753823.6304347826
jualan_online,2,856224.7391304348
jualan_online,3,875622.3478260869
jualan_online,4,926824.0434782609
jualan_online,5,757359.9782608695
jualan_online,6,808207.1521739131
jualan_online,7,1247619.7173913044
jualan_online,8,1327983.652173913
jualan_online,9,1178086.7826086956
jualan_online,10,1205727.1304347827
jualan_online,11,1158557.6956521738
jualan_online,12,1357617.6739130435
jualan_online,13,448677.23913043475
jualan_online,14,450964.17391304346
jualan_online,15,898461.8260869565
jualan_online,16,915566.195652174
jualan_online,17,866057.9565217391
jualan_online,18,868892.804347826
jualan_online,19,828278.4782608695
jualan_online,20,936752.2391304348
jualan_online,21,837141.2608695652
jualan_online,22,835593.0
jualan_online,23,838562.2826086957
jualan_online,24,1002138.7173913043
jualan_online,25,775996.804347826
jualan_online,26,873245.4565217391
jualan_online,27,771224.7173913043
jualan_online,28,839625.3478260869
jualan_online,29,775497.0652173914
jualan_online,30,752773.8478260869
jualan_online,31,843829.8478260869
jualan_online,32,894608.6086956522
jualan_online,33,824563.9782608695
jualan_online,34,766029.2391304348
jualan_online,35,731277.195652174
jualan_online,36,852600.5217391305
jualan_online,37,834097.9565217391
jualan_online,38,760747.3913043478
jualan_online,39,853440.0217391305
jualan_online,40,923052.3260869565
jualan_online,41,821237.7173913043
jualan_online,42,787871.1739130435
jualan_online,43,813082.6304347826
jualan_online,44,1641753.1739130435
jualan_online,45,1574420.2826086956
jualan_online,46,1618649.8260869565
jualan_online,47,1546512.956521739
jualan_online,48,845119.8478260869
jualan_online,49,824318.0
jualan_online,50,1032297.695652174
jualan_online,51,1176926.847826087
jualan_online,52,1189930.7173913044
kurir,1,688486.1333333333
kurir,2,714399.4666666667
kurir,3,677621.6133333333
kurir,4,733530.3333333334
kurir,5,653681.9466666667
kurir,6,665939.6266666667
kurir,7,924848.4933333333
kurir,8,1069871.2666666666
kurir,9,978725.0133333333
kurir,10,937613.6933333334
kurir,11,883100.4933333333
kurir,12,1013154.68
kurir,13,317763.9066666667
kurir,14,360810.29333333333
kurir,15,701248.0933333334
kurir,16,756260.2933333333
kurir,17,686890.1866666666
kurir,18,715347.2933333333
kurir,19,673862.0533333333
kurir,20,805965.28
kurir,21,687183.5866666667
kurir,22,672774.36
kurir,23,669669.5466666666
kurir,24,748028.4666666667
kurir,25,670025.9733333334
kurir,26,722934.0266666666
kurir,27,708998.1333333333
kurir,28,810793.72
kurir,29,714481.4533333334
kurir,30,683582.8
kurir,31,726109.7866666666
kurir,32,790822.7866666666
kurir,33,693686.2
kurir,34,685573.5733333334
kurir,35,690918.92
kurir,36,795415.5866666667
kurir,37,690033.8133333334
kurir,38,700752.3866666667
kurir,39,722125.6533333333
kurir,40,798331.8666666667
kurir,41,714655.8666666667
kurir,42,700117.32
kurir,43,701010.64
kurir,44,1241740.7333333334
kurir,45,1072844.0266666666
kurir,46,1057851.7466666666
kurir,47,1110985.4266666668
kurir,48,782151.7866666666
kurir,49,681662.0
kurir,50,901875.3333333334
kurir,51,887285.7066666667
kurir,52,985447.9733333334
ojek_online,1,694867.9642857143
ojek_online,2,755797.4761904762
ojek_online,3,731482.4880952381
ojek_online,4,791007.6428571428
ojek_online,5,721374.4880952381
ojek_online,6,744520.4523809524
ojek_online,7,861077.4761904762
ojek_online,8,953124.2619047619
