gig_type,domisili_code,experience_tier,usia,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari,income_w1,income_w2,income_w3,income_w4,monthly_income,income_cv,app_helpful_score
pekerja_harian,jawa_timur,mid,26,19,7,7,150000,275000,270000,335000,1030000,0.30102189775919275,5
ojek_online,bandung,senior,26,72,6,7,300000,16800,325000,330000,971800,0.6229105610627251,4
ojek_online,bandung,mid,36,20,7,11,550000,360000,760000,325000,1995000,0.4015339294403026,3
tutor,jawa_timur,junior,22,3,3,3,210000,120000,150000,120000,600000,0.28284082686910655,5
pekerja_harian,jawa_timur,mid,41,14,5,9,400000,335000,440000,300000,1475000,0.17093127067091057,2
jualan_online,sulawesi,mid,30,19,5,6,840000,650000,800000,400000,2690000,0.29624889101080065,3
freelancer_desain,jawa_timur,mid,26,31,5,6,325000,195000,380000,195000,1095000,0.34214979782794247,1
freelancer_desain,jabodetabek,mid,22,24,4,3,400000,250000,200000,280000,1130000,0.3008838906764932,5
freelancer_it,bandung,senior,17,77,5,5,660000,780000,1000000,810000,3250000,0.17329366782722389,5
freelancer_desain,bali,mid,27,14,5,8,175000,175000,210000,175000,735000,0.0952375769383568,3
kurir,jabodetabek,junior,33,10,6,9,500000,640000,575000,630000,2345000,0.1095263668923137,3
freelancer_it,jawa_tengah,mid,20,17,5,5,750000,600000,575000,975000,2900000,0.25339514112220307,4
kurir,jawa_timur,mid,41,21,6,7,1040000,1125000,900000,735000,3800000,0.17971950638961298,5
freelancer_desain,jabodetabek,junior,22,2,5,8,675000,715000,540000,580000,2510000,0.12954824930698328,2
jualan_online,jawa_barat_lainnya,mid,17,30,4,5,160000,200000,165000,255000,780000,0.22451039629820183,4
freelancer_desain,jabodetabek,mid,30,17,4,4,425000,400000,745000,425000,1995000,0.3300026163733881,4
pekerja_harian,jawa_timur,junior,27,4,3,7,260000,275000,10000,15000,560000,1.0526050394018895,5
freelancer_it,bandung,senior,35,55,5,4,825000,780000,400000,580000,2585000,0.30278830169376597,3
ojek_online,jawa_timur,junior,34,9,6,6,640000,380000,725000,710000,2455000,0.2609782872800427,5
freelancer_it,bali,mid,26,35,3,4,325000,600000,315000,270000,1510000,0.3980116397391456,1
kurir,sulawesi,junior,26,1,7,7,40000,40000,610000,940000,1630000,1.0925731774637975,5
kurir,jawa_timur,mid,26,26,6,7,560000,600000,885000,490000,2535000,0.2738607874359371,4
jualan_online,jawa_timur,junior,27,7,6,5,625000,16800,380000,430000,1451800,0.699327848417188,2
jualan_online,sulawesi,mid,27,26,5,6,105000,225000,200000,200000,730000,0.29037490380115993,4
