user_id,gig_type,experience_tier,region,usia,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari
SYN_0001,freelancer_it,mid,sumatera,33,21,3,8
SYN_0002,freelancer_desain,junior,bandung,22,7,3,11
SYN_0003,freelancer_desain,mid,jabodetabek,31,54,3,10
SYN_0004,freelancer_it,mid,sulawesi,30,54,5,10
SYN_0005,kurir,junior,jabodetabek,23,16,5,6
SYN_0006,kurir,mid,jabodetabek,30,18,5,7
SYN_0007,freelancer_it,mid,bali,33,16,4,10
SYN_0008,kurir,junior,jawa_timur,23,3,6,5
SYN_0009,freelancer_desain,mid,jawa_timur,34,38,4,8
SYN_0010,ojek_online,mid,bandung,35,39,3,10
SYN_0011,jualan_online,mid,bandung,24,28,4,11
SYN_0012,freelancer_desain,junior,jabodetabek,24,5,6,6
SYN_0013,jualan_online,mid,jawa_timur,29,32,6,6
SYN_0014,ojek_online,mid,bandung,34,19,6,8
SYN_0015,freelancer_it,mid,bandung,28,44,5,8
SYN_0016,ojek_online,senior,sumatera,43,178,4,6
SYN_0017,freelancer_it,mid,bandung,27,15,3,7
SYN_0018,ojek_online,junior,jawa_tengah,22,4,4,10
SYN_0019,freelancer_it,mid,jawa_tengah,32,16,5,9
SYN_0020,ojek_online,mid,bandung,33,18,5,4
SYN_0021,ojek_online,senior,jawa_tengah,39,160,5,6
SYN_0022,jualan_online,mid,jabodetabek,27,35,5,7
SYN_0023,jualan_online,mid,jabodetabek,28,38,5,10
SYN_0024,freelancer_desain,senior,jabodetabek,38,149,4,4
SYN_0025,kurir,mid,jawa_timur,34,27,3,8
SYN_0026,ojek_online,mid,bandung,28,51,4,10
SYN_0027,content_creator,junior,jawa_tengah,20,17,6,5
SYN_0028,kurir,senior,sumatera,34,188,6,11
SYN_0029,jualan_online,junior,jawa_timur,23,7,4,11
SYN_0030,ojek_online,senior,jabodetabek,32,61,3,10
SYN_0031,ojek_online,mid,sumatera,26,25,4,11
SYN_0032,jualan_online,junior,jabodetabek,19,4,4,5
SYN_0033,ojek_online,mid,jawa_timur,32,32,3,10
SYN_0034,freelancer_it,junior,jabodetabek,22,16,3,7
SYN_0035,jualan_online,mid,kalimantan,28,58,6,7
SYN_0036,jualan_online,junior,jabodetabek,23,8,3,11
SYN_0037,content_creator,senior,bandung,50,208,3,9
SYN_0038,freelancer_desain,junior,jawa_tengah,24,11,6,10
SYN_0039,kurir,mid,bandung,33,58,6,6
SYN_0040,ojek_online,mid,bali,37,17,6,4
SYN_0041,ojek_online,senior,bandung,35,222,6,8
SYN_0042,ojek_online,junior,jabodetabek,23,1,3,5
SYN_0043,jualan_online,mid,bandung,28,59,5,9
SYN_0044,ojek_online,junior,jabodetabek,19,5,5,8
SYN_0045,ojek_online,mid,jawa_tengah,25,16,6,4
SYN_0046,ojek_online,senior,sumatera,37,235,4,10
SYN_0047,jualan_online,mid,jabodetabek,31,27,5,11
SYN_0048,kurir,mid,jabodetabek,24,18,4,7
SYN_0049,ojek_online,mid,bandung,28,32,4,5
SYN_0050,content_creator,senior,jawa_tengah,49,102,4,8
SYN_0051,jualan_online,senior,jawa_tengah,46,50,4,5
SYN_0052,freelancer_it,senior,jabodetabek,53,161,5,4
SYN_0053,ojek_online,senior,jabodetabek,54,70,6,7
SYN_0054,freelancer_desain,senior,jabodetabek,48,156,3,4
SYN_0055,ojek_online,mid,jawa_tengah,30,44,5,9
SYN_0056,jualan_online,mid,kalimantan,35,17,6,4
SYN_0057,jualan_online,mid,jawa_timur,33,47,4,9
SYN_0058,ojek_online,mid,bandung,28,19,6,5
SYN_0059,kurir,mid,jawa_timur,31,57,6,6
SYN_0060,kurir,senior,jawa_timur,51,230,4,4
SYN_0061,jualan_online,junior,jawa_tengah,23,10,3,4
SYN_0062,kurir,mid,bandung,24,26,5,11
SYN_0063,ojek_online,senior,sumatera,38,194,6,4
SYN_0064,freelancer_it,mid,jabodetabek,33,55,6,4
SYN_0065,ojek_online,mid,jabodetabek,36,25,5,11
SYN_0066,ojek_online,mid,bali,37,23,4,10
SYN_0067,freelancer_desain,senior,jawa_timur,48,203,6,7
SYN_0068,ojek_online,mid,jawa_timur,31,42,3,10
SYN_0069,freelancer_it,junior,jabodetabek,23,9,6,9
SYN_0070,jualan_online,junior,sumatera,21,13,4,5
SYN_0071,ojek_online,senior,bandung,50,87,5,10
SYN_0072,content_creator,junior,jawa_tengah,22,12,4,9
SYN_0073,ojek_online,mid,bandung,30,18,3,11
SYN_0074,kurir,mid,jawa_tengah,29,42,6,7
SYN_0075,ojek_online,mid,bandung,24,26,4,7
SYN_0076,jualan_online,mid,jawa_timur,31,43,5,9
SYN_0077,freelancer_desain,mid,bandung,32,37,4,11
SYN_0078,content_creator,senior,jawa_tengah,48,142,4,10
SYN_0079,freelancer_desain,mid,jabodetabek,25,53,6,10
SYN_0080,kurir,junior,bandung,18,13,6,4
SYN_0081,freelancer_desain,mid,jabodetabek,32,44,3,8
SYN_0082,tutor,mid,bandung,34,45,3,9
SYN_0083,jualan_online,junior,jabodetabek,22,8,3,9
SYN_0084,tutor,mid,bali,35,59,5,5
SYN_0085,kurir,junior,jawa_timur,21,9,4,11
SYN_0086,content_creator,junior,jabodetabek,19,5,3,7
SYN_0087,jualan_online,junior,jabodetabek,24,15,5,8
SYN_0088,freelancer_it,junior,bandung,23,10,6,6
SYN_0089,jualan_online,mid,sumatera,31,32,6,6
SYN_0090,kurir,mid,jawa_tengah,31,17,3,7
SYN_0091,jualan_online,junior,bandung,19,5,3,8
SYN_0092,kurir,mid,jabodetabek,29,25,3,9
SYN_0093,tutor,mid,bandung,34,43,6,8
SYN_0094,freelancer_desain,senior,jabodetabek,43,185,6,7
SYN_0095,jualan_online,senior,sulawesi,38,203,5,11
SYN_0096,ojek_online,junior,jawa_timur,25,9,6,11
SYN_0097,pekerja_harian,mid,bali,33,16,3,8
SYN_0098,content_creator,senior,jabodetabek,40,230,3,6
SYN_0099,freelancer_it,mid,sumatera,34,47,4,10
SYN_0100,ojek_online,mid,sumatera,24,57,5,6
SYN_0101,kurir,senior,jawa_timur,37,84,4,10
SYN_0102,freelancer_desain,junior,jawa_tengah,21,2,4,8
SYN_0103,ojek_online,junior,jawa_timur,21,14,5,11
SYN_0104,kurir,junior,jawa_tengah,25,15,5,9
SYN_0105,content_creator,mid,jabodetabek,25,29,3,4
SYN_0106,ojek_online,mid,jawa_timur,28,33,4,11
SYN_0107,jualan_online,junior,sumatera,21,4,5,6
SYN_0108,jualan_online,mid,jawa_tengah,33,13,4,10
SYN_0109,ojek_online,senior,jabodetabek,33,150,4,10
SYN_0110,kurir,mid,papua,33,24,6,9
SYN_0111,ojek_online,mid,jabodetabek,29,43,4,11
SYN_0112,kurir,junior,kalimantan,18,5,3,4
SYN_0113,kurir,mid,bandung,24,14,6,4
SYN_0114,ojek_online,mid,jabodetabek,28,35,4,5
SYN_0115,ojek_online,senior,jabodetabek,34,139,4,7
SYN_0116,kurir,mid,bali,27,22,4,8
SYN_0117,freelancer_it,junior,bandung,19,16,4,4
SYN_0118,freelancer_it,junior,jabodetabek,19,1,6,4
SYN_0119,ojek_online,junior,jawa_tengah,21,5,3,8
SYN_0120,freelancer_desain,junior,sumatera,22,8,3,11
SYN_0121,ojek_online,senior,bandung,54,159,6,11
SYN_0122,freelancer_desain,junior,bali,22,6,3,8
SYN_0123,ojek_online,junior,bandung,21,1,5,5
SYN_0124,freelancer_it,mid,bandung,36,19,5,5
SYN_0125,freelancer_it,junior,jawa_tengah,18,17,4,4
SYN_0126,tutor,mid,jabodetabek,36,16,6,7
SYN_0127,ojek_online,junior,jawa_tengah,19,6,4,9
SYN_0128,ojek_online,mid,jabodetabek,36,52,4,8
SYN_0129,kurir,mid,jawa_timur,34,39,4,10
SYN_0130,kurir,mid,jabodetabek,35,29,5,7
SYN_0131,content_creator,mid,jawa_timur,30,19,4,11
SYN_0132,ojek_online,senior,sumatera,36,105,4,11
SYN_0133,kurir,mid,jawa_timur,33,47,5,10
SYN_0134,ojek_online,senior,sumatera,50,138,3,4
SYN_0135,ojek_online,senior,bandung,50,182,6,11
SYN_0136,kurir,mid,jawa_tengah,29,12,5,8
SYN_0137,ojek_online,mid,bandung,34,18,4,5
SYN_0138,kurir,senior,jabodetabek,34,132,6,8
SYN_0139,ojek_online,junior,jawa_tengah,18,8,4,6
SYN_0140,jualan_online,senior,jawa_timur,43,216,3,5
SYN_0141,freelancer_it,senior,sumatera,34,236,5,11
SYN_0142,ojek_online,junior,bandung,22,8,3,10
SYN_0143,jualan_online,junior,jabodetabek,21,3,3,10
SYN_0144,freelancer_it,junior,bandung,21,2,6,4
SYN_0145,content_creator,junior,sumatera,23,2,4,6
SYN_0146,ojek_online,mid,bandung,27,54,5,5
SYN_0147,kurir,mid,jabodetabek,28,23,4,5
SYN_0148,content_creator,mid,jawa_tengah,30,33,5,7
SYN_0149,ojek_online,junior,kalimantan,18,9,6,11
SYN_0150,jualan_online,junior,jabodetabek,18,7,3,5
SYN_0151,jualan_online,mid,bandung,31,37,5,5
SYN_0152,freelancer_desain,mid,bandung,26,51,6,9
SYN_0153,kurir,mid,jawa_tengah,24,48,5,10
SYN_0154,content_creator,mid,jawa_timur,24,38,6,6
SYN_0155,kurir,junior,jabodetabek,24,11,4,7
SYN_0156,kurir,mid,bandung,33,43,5,4
SYN_0157,kurir,junior,jawa_timur,25,15,5,4
SYN_0158,content_creator,mid,papua,31,48,5,5
SYN_0159,kurir,mid,bandung,36,38,3,9
SYN_0160,content_creator,mid,jawa_timur,28,45,4,7
SYN_0161,ojek_online,mid,jawa_timur,34,43,4,4
SYN_0162,ojek_online,mid,sumatera,27,55,5,5
SYN_0163,ojek_online,junior,jawa_timur,25,16,5,5
SYN_0164,freelancer_it,senior,jawa_tengah,37,98,5,4
SYN_0165,kurir,mid,jabodetabek,31,31,5,11
SYN_0166,kurir,senior,sumatera,39,210,5,9
SYN_0167,kurir,junior,sumatera,25,16,4,10
SYN_0168,freelancer_it,mid,jawa_timur,30,42,4,9
SYN_0169,kurir,junior,jawa_tengah,20,7,4,5
SYN_0170,freelancer_desain,junior,jabodetabek,20,8,6,5
SYN_0171,freelancer_it,junior,bandung,21,17,4,5
SYN_0172,kurir,mid,kalimantan,37,42,3,11
SYN_0173,ojek_online,senior,jawa_timur,42,58,5,10
SYN_0174,kurir,mid,jawa_tengah,33,50,5,4
SYN_0175,jualan_online,junior,jawa_timur,18,17,4,6
SYN_0176,kurir,junior,jawa_timur,20,6,6,9
SYN_0177,kurir,junior,jawa_timur,23,14,3,7
SYN_0178,ojek_online,senior,jabodetabek,35,98,5,6
SYN_0179,ojek_online,mid,jawa_timur,25,13,4,9
SYN_0180,ojek_online,junior,sumatera,24,10,5,7
SYN_0181,kurir,mid,jabodetabek,28,48,3,8
SYN_0182,kurir,mid,jabodetabek,26,43,6,11
SYN_0183,ojek_online,junior,bali,18,7,5,11
SYN_0184,jualan_online,mid,bandung,36,57,6,11
SYN_0185,ojek_online,mid,jabodetabek,27,47,3,8
SYN_0186,freelancer_desain,mid,jabodetabek,24,56,5,6
SYN_0187,kurir,mid,bali,28,38,3,7
SYN_0188,jualan_online,junior,jawa_tengah,23,15,3,6
SYN_0189,content_creator,mid,jabodetabek,35,54,3,7
SYN_0190,content_creator,junior,jabodetabek,22,8,3,6
SYN_0191,ojek_online,junior,bandung,22,3,3,5
SYN_0192,kurir,mid,jabodetabek,29,28,4,11
SYN_0193,content_creator,senior,jabodetabek,49,57,3,4
SYN_0194,ojek_online,senior,jawa_timur,50,177,5,5
SYN_0195,kurir,junior,kalimantan,18,10,6,10
SYN_0196,pekerja_harian,mid,jawa_tengah,28,58,6,7
SYN_0197,jualan_online,junior,bandung,19,17,3,10
SYN_0198,kurir,mid,bandung,35,42,4,11
SYN_0199,kurir,junior,bandung,22,7,4,6
SYN_0200,kurir,junior,bandung,22,2,4,5
SYN_0201,kurir,junior,jawa_tengah,24,10,4,8
SYN_0202,jualan_online,mid,jabodetabek,33,57,6,7
SYN_0203,jualan_online,junior,jabodetabek,23,16,5,4
SYN_0204,freelancer_desain,mid,bandung,30,12,5,10
SYN_0205,freelancer_desain,mid,jawa_tengah,27,44,3,7
SYN_0206,jualan_online,senior,kalimantan,50,210,6,5
SYN_0207,freelancer_desain,mid,jabodetabek,35,36,4,5
SYN_0208,jualan_online,mid,bandung,25,32,3,4
SYN_0209,freelancer_desain,junior,bandung,24,2,3,11
SYN_0210,freelancer_it,junior,jawa_timur,18,7,6,8
SYN_0211,kurir,mid,jabodetabek,25,39,3,7
SYN_0212,content_creator,mid,bali,29,58,3,4
SYN_0213,freelancer_desain,mid,bandung,30,29,3,5
SYN_0214,content_creator,junior,jawa_timur,22,6,5,11
SYN_0215,content_creator,senior,jabodetabek,33,36,6,11
SYN_0216,content_creator,mid,bandung,35,33,6,4
SYN_0217,kurir,junior,jabodetabek,25,4,3,9
SYN_0218,freelancer_desain,senior,bali,40,228,5,5
SYN_0219,jualan_online,mid,sumatera,37,33,5,10
SYN_0220,kurir,mid,bandung,25,16,5,4
SYN_0221,kurir,senior,jawa_tengah,32,100,3,10
SYN_0222,ojek_online,mid,kalimantan,36,58,3,5
SYN_0223,ojek_online,junior,jabodetabek,22,7,6,6
SYN_0224,ojek_online,senior,jawa_tengah,46,212,5,11
SYN_0225,ojek_online,junior,bandung,25,15,4,6
SYN_0226,ojek_online,junior,jawa_timur,19,12,3,7
SYN_0227,freelancer_it,junior,kalimantan,19,14,3,8
SYN_0228,jualan_online,mid,papua,25,35,5,7
SYN_0229,ojek_online,mid,jabodetabek,32,41,3,8
SYN_0230,content_creator,mid,jabodetabek,35,51,5,9
SYN_0231,kurir,mid,sumatera,32,26,4,7
SYN_0232,pekerja_harian,mid,bandung,33,42,6,6
SYN_0233,kurir,junior,jawa_timur,20,3,4,5
SYN_0234,freelancer_it,senior,jabodetabek,34,56,6,10
SYN_0235,kurir,mid,sumatera,34,48,3,9
SYN_0236,kurir,mid,jabodetabek,27,23,4,7
SYN_0237,freelancer_it,junior,jawa_tengah,19,14,5,9
SYN_0238,kurir,senior,jabodetabek,40,73,3,5
SYN_0239,ojek_online,mid,bandung,26,25,4,5
SYN_0240,kurir,mid,jabodetabek,34,14,6,6
SYN_0241,freelancer_desain,senior,jawa_tengah,42,217,6,11
SYN_0242,kurir,junior,jabodetabek,21,8,4,7
SYN_0243,jualan_online,senior,jabodetabek,48,81,3,10
SYN_0244,tutor,senior,sumatera,39,62,4,9
SYN_0245,content_creator,junior,jawa_tengah,22,6,3,5
SYN_0246,ojek_online,senior,bandung,51,36,5,9
SYN_0247,freelancer_desain,junior,sumatera,24,3,4,9
SYN_0248,ojek_online,junior,kalimantan,20,1,4,11
SYN_0249,freelancer_it,mid,bandung,34,52,6,5
SYN_0250,jualan_online,senior,jabodetabek,36,219,5,9
SYN_0251,kurir,mid,bandung,27,21,3,5
SYN_0252,kurir,senior,jawa_timur,47,63,6,5
SYN_0253,content_creator,junior,jawa_timur,18,13,6,4
SYN_0254,ojek_online,junior,bandung,20,4,6,5
SYN_0255,ojek_online,junior,jabodetabek,20,3,3,11
SYN_0256,ojek_online,senior,bandung,32,53,3,10
SYN_0257,ojek_online,senior,sumatera,37,209,3,5
SYN_0258,freelancer_desain,junior,jawa_tengah,24,11,3,4
SYN_0259,freelancer_it,mid,sumatera,26,37,6,9
SYN_0260,freelancer_it,junior,jabodetabek,19,6,5,9
SYN_0261,kurir,mid,sumatera,35,23,6,9
SYN_0262,jualan_online,junior,bali,25,1,5,10
SYN_0263,kurir,mid,bandung,24,59,3,4
SYN_0264,freelancer_desain,junior,bali,21,11,6,7
SYN_0265,freelancer_it,junior,jawa_tengah,20,12,6,10
SYN_0266,ojek_online,mid,jawa_tengah,30,34,3,7
SYN_0267,ojek_online,mid,kalimantan,36,14,4,9
SYN_0268,freelancer_desain,mid,sumatera,27,38,5,7
SYN_0269,ojek_online,junior,kalimantan,21,13,3,9
SYN_0270,jualan_online,mid,bandung,32,26,3,4
SYN_0271,kurir,mid,jabodetabek,27,58,3,11
SYN_0272,kurir,junior,jabodetabek,18,4,3,7
SYN_0273,ojek_online,junior,bali,23,10,3,10
SYN_0274,content_creator,mid,jawa_tengah,33,31,4,9
SYN_0275,ojek_online,mid,jabodetabek,29,19,6,5
SYN_0276,kurir,mid,sumatera,25,54,6,5
SYN_0277,freelancer_it,senior,jabodetabek,54,152,3,6
SYN_0278,jualan_online,mid,jawa_tengah,25,27,5,8
SYN_0279,ojek_online,mid,bandung,30,16,6,5
SYN_0280,freelancer_it,junior,bali,22,1,6,11
SYN_0281,jualan_online,senior,jawa_tengah,54,143,5,8
SYN_0282,ojek_online,mid,jawa_tengah,36,28,4,8
SYN_0283,kurir,junior,jabodetabek,19,2,5,4
SYN_0284,freelancer_it,mid,jabodetabek,31,58,3,4
SYN_0285,jualan_online,junior,jawa_timur,20,8,4,10
SYN_0286,content_creator,mid,jawa_timur,35,29,6,10
SYN_0287,ojek_online,junior,jawa_tengah,24,17,3,11
SYN_0288,jualan_online,senior,kalimantan,36,113,5,9
SYN_0289,kurir,senior,sulawesi,53,220,5,10
SYN_0290,kurir,mid,jawa_tengah,31,39,5,7
SYN_0291,kurir,junior,jabodetabek,21,4,5,10
SYN_0292,ojek_online,mid,jawa_tengah,24,58,4,4
SYN_0293,ojek_online,junior,jabodetabek,25,10,6,4
SYN_0294,ojek_online,mid,bandung,30,30,3,7
SYN_0295,ojek_online,junior,sumatera,20,10,5,5
SYN_0296,jualan_online,mid,jawa_tengah,37,53,4,8
SYN_0297,kurir,junior,jabodetabek,18,6,4,9
SYN_0298,kurir,mid,jawa_tengah,34,37,6,5
SYN_0299,kurir,mid,jabodetabek,26,14,6,5
SYN_0300,kurir,junior,bali,25,8,3,8
