dataset_id,timestamp,tahun,bulan,tahun_bulan,tipe_transaksi,category,amount,metode_pembayaran,status_transaksi,sumber_file,source,hour,day_of_week,day_name,day_of_month,month,date_only,is_weekend,week_period,hour_sin,hour_cos,is_night,is_late_night,night_score,time_segment,category_score,category_type,is_hedonic_category,amount_log,amount_z,amount_score,amount_percentile,is_high_amount,user_proxy,transactions_same_day,daily_amount_total,share_of_daily_spend,amount_vs_weekly_avg,budget_limit,spent_so_far,budget_remaining_ratio,weekend_score,fingo_impulse_signal,signal_band,label
ecommerce_sales,2025-11-16 17:53:00,2025,11,2025-11,Sales,Belanja,12500.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,17,6,Sunday,16,2025-11,2025-11-16,1,46,-0.9659258262890684,-0.2588190451025206,0,0,0.4166666666666666,evening,1.0,hedonic,1,9.433563920090563,-0.7651552433877982,0.3724741261020337,0.1221122112211221,0,ecommerce_sales_unknown_unknown,36,1799600.0,0.0069459879973327,0.2652086482542464,1392395.8305830583,10297494.0,0.0,1.0,0.6389518648588417,watch,PERTIMBANGAN
ecommerce_sales,2025-02-12 10:54:00,2025,2,2025-02,Sales,Belanja,41600.0,Online Payment,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,2,Wednesday,12,2025-02,2025-02-12,0,7,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,10.635879484421974,1.2548046207675974,0.7091341034612663,0.7258525852585258,0,ecommerce_sales_unknown_unknown,1754,101543099.0,0.0004096782588839,0.7263306919313626,1392395.8305830583,98349374.0,0.0,0.0,0.5356168591986499,watch,PERTIMBANGAN
ecommerce_sales,2025-11-07 09:29:00,2025,11,2025-11,Sales,Belanja,19098.0,SeaBank Bayar Instan,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,9,4,Friday,7,2025-11,2025-11-07,0,45,0.7071067811865476,-0.7071067811865475,0,0,0.25,morning,1.0,hedonic,1,9.857391256643156,-0.3071588453225988,0.4488068591129002,0.368976897689769,0,ecommerce_sales_unknown_unknown,32,1134004.0,0.0168412104366474,0.3248938621913694,1392395.8305830583,10350742.0,0.0,0.0,0.499701714778225,watch,PERTIMBANGAN
ecommerce_sales,2025-11-12 07:17:00,2025,11,2025-11,Sales,Belanja,48497.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,7,2,Wednesday,12,2025-11,2025-11-12,0,46,0.9659258262890684,-0.2588190451025206,0,0,0.4166666666666666,morning,1.0,hedonic,1,10.7892778389619,1.7335559329009227,0.7889259888168204,0.7709570957095709,0,ecommerce_sales_unknown_unknown,24,1121269.0,0.043251886924547,1.028945905150895,1392395.8305830583,4040011.0,0.0,0.0,0.6430648305375384,watch,PERTIMBANGAN
daily_household,2018-05-15 20:11:58,2018,5,2018-05,Expense,Makanan,24705.0,Saving Bank account 1,Expense,daily_household_transactions_clean.csv,daily_household,20,1,Tuesday,15,2018-05,2018-05-15,0,20,-0.8660254037844386,0.5000000000000001,1,0,0.6666666666666667,night,0.5,neutral,0,10.11480140809676,0.2777352941176291,0.5462892156862715,0.5305872756933115,0,daily_household_unknown_unknown,4,3973845.0,0.0062169007598434,0.1639833649015883,12617743.237561176,8803947.0,0.3022566053022906,0.0,0.5199056372549011,watch,PERTIMBANGAN
ecommerce_sales,2024-01-25 10:18:00,2024,1,2024-01,Sales,Belanja,42400.0,Saldo ShopeePay,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,3,Thursday,25,2024-01,2024-01-25,0,4,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,10.65492722584759,1.3103361634247903,0.7183893605707984,0.7313531353135313,0,ecommerce_sales_unknown_unknown,22,736612.0,0.0575608325685706,0.7442441223192221,1392395.8305830583,1262022.0,0.0936327355479546,0.0,0.5379306734760329,watch,PERTIMBANGAN
ecommerce_sales,2025-02-12 10:54:00,2025,2,2025-02,Sales,Belanja,33000.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,2,Wednesday,12,2025-02,2025-02-12,0,7,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,10.404293143019792,0.6578405372027727,0.6096400895337954,0.6343234323432343,0,ecommerce_sales_unknown_unknown,1754,101543099.0,0.0003249851572877,0.576175789272475,1392395.8305830583,21681482.0,0.0,0.0,0.5107433557167822,watch,PERTIMBANGAN
daily_household,2017-04-20 20:42:02,2017,4,2017-04,Expense,Lainnya,113767.44,Saving Bank account 1,Expense,daily_household_transactions_clean.csv,daily_household,20,3,Thursday,20,2017-04,2017-04-20,0,16,-0.8660254037844386,0.5000000000000001,1,0,0.6666666666666667,night,0.5,neutral,0,11.641920433564918,3.0,1.0,0.7369494290375204,0,daily_household_unknown_unknown,2,125479.44,0.9066619997666476,2.374720060069712,12617743.237561176,1238302.44,0.9018602283557524,0.0,0.6333333333333333,watch,PERTIMBANGAN
ecommerce_sales,2025-02-14 12:03:00,2025,2,2025-02,Sales,Belanja,129531.0,Saldo ShopeePay,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,12,4,Friday,14,2025-02,2025-02-14,0,7,1.2246467991473532e-16,-1.0,0,0,0.0,midday,1.0,hedonic,1,11.771683233843609,3.0,1.0,0.9346534653465348,1,ecommerce_sales_unknown_unknown,33,1993546.0,0.0649751748893679,2.261594732128878,1392395.8305830583,106009050.0,0.0,0.0,0.55,watch,PERTIMBANGAN
ecommerce_sales,2025-11-03 18:23:00,2025,11,2025-11,Sales,Belanja,17900.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,18,0,Monday,3,2025-11,2025-11-03,0,45,-1.0,-1.8369701987210294e-16,0,0,0.5,evening,1.0,hedonic,1,9.792611856190192,-0.3903173304517453,0.4349471115913757,0.288008800880088,0,ecommerce_sales_unknown_unknown,36,1918712.0,0.0093291749882212,0.3045135686053781,1392395.8305830583,1667876.0,0.0,0.0,0.583736777897844,watch,PERTIMBANGAN
